"randy","colony","colony_size","treatment","antID","AntTask","AntTask_num","frames_inside_24hPRE","frames_inside_24hPOST","frames_outside_24hPRE","frames_outside_24hPOST","Exposed","IsQueen","prop_inside_24hPRE","prop_inside_24hPOST","delta_time_inside"
"/media/tracking_users/DISK4/ADRIANO/EXPERIMENT_DATA/REP1/R1BS_26-02-21_AntsCreated_AutoOriented_withMetaData_NS_NS_q.myrmidon","R1BS",149,"BS",1,"nurse",1,688668,667798,0,0,"no","queen",1,1,0
"/media/tracking_users/DISK4/ADRIANO/EXPERIMENT_DATA/REP1/R1BS_26-02-21_AntsCreated_AutoOriented_withMetaData_NS_NS_q.myrmidon","R1BS",149,"BS",2,"forager",2,666634,664538,16348,15318,"no","no",0.976063790846611,0.977468758089948,0.00140496724333761
"/media/tracking_users/DISK4/ADRIANO/EXPERIMENT_DATA/REP1/R1BS_26-02-21_AntsCreated_AutoOriented_withMetaData_NS_NS_q.myrmidon","R1BS",149,"BS",3,"nurse",1,630097,677578,0,0,"no","no",1,1,0
"/media/tracking_users/DISK4/ADRIANO/EXPERIMENT_DATA/REP1/R1BS_26-02-21_AntsCreated_AutoOriented_withMetaData_NS_NS_q.myrmidon","R1BS",149,"BS",4,"nurse",1,687063,529205,0,143920,"no","no",1,0.786191272051996,-0.213808727948004
"/media/tracking_users/DISK4/ADRIANO/EXPERIMENT_DATA/REP1/R1BS_26-02-21_AntsCreated_AutoOriented_withMetaData_NS_NS_q.myrmidon","R1BS",149,"BS",5,"forager",2,560477,531080,98832,111979,"no","no",0.850097602186532,0.825865122795887,-0.0242324793906451
"/media/tracking_users/DISK4/ADRIANO/EXPERIMENT_DATA/REP1/R1BS_26-02-21_AntsCreated_AutoOriented_withMetaData_NS_NS_q.myrmidon","R1BS",149,"BS",6,"nurse",1,682093,668794,0,0,"exposed","no",1,1,0
"/media/tracking_users/DISK4/ADRIANO/EXPERIMENT_DATA/REP1/R1BS_26-02-21_AntsCreated_AutoOriented_withMetaData_NS_NS_q.myrmidon","R1BS",149,"BS",7,"nurse",1,682948,681936,275,0,"no","no",0.999597495985937,1,0.000402504014062721
"/media/tracking_users/DISK4/ADRIANO/EXPERIMENT_DATA/REP1/R1BS_26-02-21_AntsCreated_AutoOriented_withMetaData_NS_NS_q.myrmidon","R1BS",149,"BS",8,"nurse",1,678759,671861,0,0,"exposed","no",1,1,0
"/media/tracking_users/DISK4/ADRIANO/EXPERIMENT_DATA/REP1/R1BS_26-02-21_AntsCreated_AutoOriented_withMetaData_NS_NS_q.myrmidon","R1BS",149,"BS",9,"forager",2,654256,568342,28848,99406,"no","no",0.957769241579613,0.851132463144779,-0.106636778434834
"/media/tracking_users/DISK4/ADRIANO/EXPERIMENT_DATA/REP1/R1BS_26-02-21_AntsCreated_AutoOriented_withMetaData_NS_NS_q.myrmidon","R1BS",149,"BS",11,"nurse",1,672756,681862,0,0,"no","no",1,1,0
"/media/tracking_users/DISK4/ADRIANO/EXPERIMENT_DATA/REP1/R1BS_26-02-21_AntsCreated_AutoOriented_withMetaData_NS_NS_q.myrmidon","R1BS",149,"BS",12,"forager",2,660395,674751,7685,875,"no","no",0.988496886600407,0.9987049047846,0.0102080181841926
"/media/tracking_users/DISK4/ADRIANO/EXPERIMENT_DATA/REP1/R1BS_26-02-21_AntsCreated_AutoOriented_withMetaData_NS_NS_q.myrmidon","R1BS",149,"BS",13,"nurse",1,668652,684842,0,0,"no","no",1,1,0
"/media/tracking_users/DISK4/ADRIANO/EXPERIMENT_DATA/REP1/R1BS_26-02-21_AntsCreated_AutoOriented_withMetaData_NS_NS_q.myrmidon","R1BS",149,"BS",14,"forager",2,665933,668692,13428,6424,"no","no",0.980234367295149,0.990484598202383,0.0102502309072335
"/media/tracking_users/DISK4/ADRIANO/EXPERIMENT_DATA/REP1/R1BS_26-02-21_AntsCreated_AutoOriented_withMetaData_NS_NS_q.myrmidon","R1BS",149,"BS",15,"nurse",1,678077,670615,2603,8383,"no","no",0.996175882940589,0.987653866432596,-0.00852201650799256
"/media/tracking_users/DISK4/ADRIANO/EXPERIMENT_DATA/REP1/R1BS_26-02-21_AntsCreated_AutoOriented_withMetaData_NS_NS_q.myrmidon","R1BS",149,"BS",16,"nurse",1,673393,661963,0,0,"no","no",1,1,0
"/media/tracking_users/DISK4/ADRIANO/EXPERIMENT_DATA/REP1/R1BS_26-02-21_AntsCreated_AutoOriented_withMetaData_NS_NS_q.myrmidon","R1BS",149,"BS",17,"nurse",1,688398,669527,0,0,"no","no",1,1,0
"/media/tracking_users/DISK4/ADRIANO/EXPERIMENT_DATA/REP1/R1BS_26-02-21_AntsCreated_AutoOriented_withMetaData_NS_NS_q.myrmidon","R1BS",149,"BS",18,"nurse",1,672239,679713,117,276,"exposed","no",0.999825985043638,0.999594111081209,-0.000231873962428963
"/media/tracking_users/DISK4/ADRIANO/EXPERIMENT_DATA/REP1/R1BS_26-02-21_AntsCreated_AutoOriented_withMetaData_NS_NS_q.myrmidon","R1BS",149,"BS",19,"nurse",1,646851,641675,2666,918,"no","no",0.995895411513478,0.998571413009479,0.00267600149600034
"/media/tracking_users/DISK4/ADRIANO/EXPERIMENT_DATA/REP1/R1BS_26-02-21_AntsCreated_AutoOriented_withMetaData_NS_NS_q.myrmidon","R1BS",149,"BS",21,"nurse",1,663382,641663,1227,39,"no","no",0.998153801708975,0.99993922412584,0.00178542241686563
"/media/tracking_users/DISK4/ADRIANO/EXPERIMENT_DATA/REP1/R1BS_26-02-21_AntsCreated_AutoOriented_withMetaData_NS_NS_q.myrmidon","R1BS",149,"BS",22,"nurse",1,675913,675819,7213,6783,"no","no",0.989441186545381,0.990063023548129,0.000621837002747982
"/media/tracking_users/DISK4/ADRIANO/EXPERIMENT_DATA/REP1/R1BS_26-02-21_AntsCreated_AutoOriented_withMetaData_NS_NS_q.myrmidon","R1BS",149,"BS",23,"forager",2,172738,234415,498415,435505,"no","no",0.25737499497134,0.349914915213757,0.0925399202424165
"/media/tracking_users/DISK4/ADRIANO/EXPERIMENT_DATA/REP1/R1BS_26-02-21_AntsCreated_AutoOriented_withMetaData_NS_NS_q.myrmidon","R1BS",149,"BS",24,"forager",2,400386,411916,268649,265185,"no","no",0.59845299573266,0.608352372836549,0.009899377103889
"/media/tracking_users/DISK4/ADRIANO/EXPERIMENT_DATA/REP1/R1BS_26-02-21_AntsCreated_AutoOriented_withMetaData_NS_NS_q.myrmidon","R1BS",149,"BS",25,"nurse",1,676565,674444,3093,8533,"no","no",0.995449181794373,0.987506167850455,-0.00794301394391828
"/media/tracking_users/DISK4/ADRIANO/EXPERIMENT_DATA/REP1/R1BS_26-02-21_AntsCreated_AutoOriented_withMetaData_NS_NS_q.myrmidon","R1BS",149,"BS",26,"nurse",1,678707,668994,605,2560,"no","no",0.999109393032951,0.996187946166652,-0.00292144686629869
"/media/tracking_users/DISK4/ADRIANO/EXPERIMENT_DATA/REP1/R1BS_26-02-21_AntsCreated_AutoOriented_withMetaData_NS_NS_q.myrmidon","R1BS",149,"BS",27,"nurse",1,676869,658191,1766,3570,"no","no",0.997397717476994,0.994605303123031,-0.00279241435396338
"/media/tracking_users/DISK4/ADRIANO/EXPERIMENT_DATA/REP1/R1BS_26-02-21_AntsCreated_AutoOriented_withMetaData_NS_NS_q.myrmidon","R1BS",149,"BS",28,"nurse",1,656222,674759,0,5860,"no","no",1,0.991390190400209,-0.00860980959979074
"/media/tracking_users/DISK4/ADRIANO/EXPERIMENT_DATA/REP1/R1BS_26-02-21_AntsCreated_AutoOriented_withMetaData_NS_NS_q.myrmidon","R1BS",149,"BS",29,"nurse",1,619046,647518,79,253,"no","no",0.999872400565314,0.999609429875681,-0.000262970689632547
"/media/tracking_users/DISK4/ADRIANO/EXPERIMENT_DATA/REP1/R1BS_26-02-21_AntsCreated_AutoOriented_withMetaData_NS_NS_q.myrmidon","R1BS",149,"BS",30,"nurse",1,679557,678272,2775,101,"no","no",0.995933064842335,0.999851114357441,0.00391804951510577
