"REP_treat","N_ants"
"R1SP","5, 13, 16"
"R1SS","10, 22"
"R2SP","14, 15"
"R2SS","16, 17, 30"
"R3SP","5, 17"
"R3SS","3, 28"
"R4SS","4, 9, 12"
"R5SP","17, 25, 33"
"R5SS","2, 16, 21"
"R6SP","3, 14, 22"
"R6SS","7, 21"
"R7SP","8, 9"
"R7SS","4, 13"
"R11SP","19, 23, 29"
"R11SS","10, 13, 27"
"R12SP","11, 23"
"R13SP","19, 26, 27"
"R13SS","8, 13, 14"
"R14SP","5, 18, 21"
"R14SS","17, 23, 25"
"R8SP","13, 16, 18"
"R8SS","15, 24, 30"
"R9SP","23, 29, 32"
"R10BP","2, 4, 34, 35, 53, 70, 73, 76, 79, 83, 84, 86, 109, 113, 133, 139, 185"
"R11BP","20, 27, 28, 45, 52, 63, 68, 77, 89, 91, 96, 99, 101, 130, 132, 144, 161"
"R11BS","23, 25, 30, 41, 46, 61, 66, 75, 85, 88, 91, 105, 144, 149, 151, 177, 191"
"R12BP","4, 18, 36, 58, 64, 70, 87, 100, 109, 128, 166, 171, 176, 184, 189, 190"
"R12BS","20, 30, 31, 34, 42, 46, 63, 70, 73, 74, 76, 90, 126, 134, 136, 152, 173"
"R13BS","6, 32, 35, 42, 67, 69, 70, 80, 82, 86, 88, 103, 111, 124, 130, 148, 159, 171, 174"
"R14BP","5, 15, 17, 18, 39, 63, 67, 72, 106, 109, 112, 117, 125, 127"
"R14BS","8, 15, 17, 28, 36, 47, 51, 87, 104, 122, 123, 124, 133, 143, 155, 157, 163"
"R1BS","6, 8, 17, 34, 55, 62, 72, 84, 90, 113, 123"
"R2BP","19, 20, 38, 44, 45, 80, 87, 123, 124, 129, 130, 131, 140, 149, 150"
"R2BS","16, 22, 35, 49, 63, 73, 77, 88, 96, 103, 104, 110, 114, 120, 122, 145, 150"
"R3BP","6, 8, 35, 56, 70, 76, 77, 78, 109, 111, 136, 155, 175, 183"
"R3BS","10, 16, 27, 35, 49, 60, 74, 78, 131, 136, 172, 175, 180"
"R4BP","20, 28, 54, 60, 73, 80, 94, 101, 105, 116, 125, 134, 144, 147, 153, 155, 161, 174"
"R5BP","12, 34, 36, 37, 40, 45, 54, 57, 60, 68, 101, 104, 105, 107, 111, 117, 128"
"R7BP","10, 43, 48, 49, 54, 62, 67, 119, 149, 151, 158, 160, 166, 182"
"R7BS","3, 9, 61, 73, 84, 91, 98, 100, 106, 116, 129, 137, 155, 180"
"R8BP","16, 22, 23, 63, 64, 66, 87, 103, 117, 124, 125, 126, 142, 156, 161, 164, 179"
"R8BS","28, 30, 35, 69, 73, 85, 99, 115, 117, 131, 137, 152, 159, 168, 182, 185, 187, 188"
