"ant1","ant2","start","end","startframe","endframe","space","types","ant1.mean.x","ant1.mean.y","ant1.mean.angle","ant2.mean.x","ant2.mean.y","ant2.mean.angle","ant1.zones","ant2.zones","detections","ant1ID_str","ant2ID_str","pair","T_start_UNIX","T_stop_UNIX","T_start_sec","T_stop_sec","frame_start","frame_stop","duration","unique_interaction_id","Act_Name","Rec_Name","predicted_Hit","PERIOD","REPLICATE"
5,31,2021-08-02 08:00:30,2021-08-02 08:00:31,1291,1299,1,"1-2,2-2",3498.54225001821,2735.27519739479,2.50262321978787,3454.92775327369,2846.06853983719,-0.271986593047498,"1","1",2,"ant_5","ant_31","5_31",2021-08-02 08:00:30,2021-08-02 08:00:31,1627891230.049,1627891231.049,1291,1299,1.125,50,"ant_31","ant_5",1,"whole_experiment","REP14/R14SS"
13,30,2021-08-02 08:03:11,2021-08-02 08:03:23,2580,2677,1,"1-1,1-2,2-1,2-2",2437.45969339359,3139.63365421958,2.02182721750311,2467.38036155946,3237.17996237827,-2.4465202317242,"1","1",53,"ant_13","ant_30","13_30",2021-08-02 08:03:11,2021-08-02 08:03:23,1627891391.175,1627891403.301,2580,2677,12.2510001659393,108,"ant_30","ant_13",1,"whole_experiment","REP14/R14SS"
30,32,2021-08-02 08:05:18,2021-08-02 08:05:21,3602,3620,1,"1-2,2-2",2714.65477702366,3202.5248344393,-1.44010362387409,2650.35684612863,3109.07597426954,-2.45752222016747,"1","1",19,"ant_30","ant_32","30_32",2021-08-02 08:05:18,2021-08-02 08:05:21,1627891518.927,1627891521.177,3602,3620,2.375,148,"ant_30","ant_32",1,"whole_experiment","REP14/R14SS"
2,29,2021-08-02 08:16:26,2021-08-02 08:16:30,8944,8974,1,"1-1,1-2,2-1,2-2",2549.11317670425,3395.31482122073,-1.64498108121707,2476.79425812785,3246.5373553542,1.04441260571077,"1","1",22,"ant_2","ant_29","2_29",2021-08-02 08:16:26,2021-08-02 08:16:30,1627892186.683,1627892190.433,8944,8974,3.875,336,"ant_2","ant_29",1,"whole_experiment","REP14/R14SS"
2,23,2021-08-02 08:16:25,2021-08-02 08:16:31,8938,8984,1,"1-1,1-2,2-1,2-2",2555.02322017856,3398.67423814474,-1.61393530196675,2587.72834827683,3280.59856710641,3.05433135902433,"1","1",44,"ant_2","ant_23","2_23",2021-08-02 08:16:25,2021-08-02 08:16:31,1627892185.933,1627892191.683,8938,8984,5.875,338,"ant_2","ant_23",1,"whole_experiment","REP14/R14SS"
10,30,2021-08-02 08:18:05,2021-08-02 08:18:14,9735,9804,1,"2-1,2-2",3020.17397531895,3396.84456356229,0.524196457028239,2994.85309321917,3286.81550313737,0.911711453406481,"1","1",42,"ant_10","ant_30","10_30",2021-08-02 08:18:05,2021-08-02 08:18:14,1627892285.559,1627892294.184,9735,9804,8.75,367,"ant_30","ant_10",1,"whole_experiment","REP14/R14SS"
12,23,2021-08-02 08:23:55,2021-08-02 08:23:57,12532,12547,1,"1-2,2-2",2619.31712318512,3254.45502613374,2.81635822269025,2511.19148458384,3189.99659798184,-2.74449727532895,"1","1",9,"ant_12","ant_23","12_23",2021-08-02 08:23:55,2021-08-02 08:23:57,1627892635.187,1627892637.062,12532,12547,2,476,"ant_12","ant_23",1,"whole_experiment","REP14/R14SS"
6,12,2021-08-02 08:23:57,2021-08-02 08:24:10,12551,12653,1,"2-1,2-2",2527.15443869115,3390.6216923395,-2.70984682924248,2591.8432023364,3314.12049627219,3.13940496879614,"1","1",7,"ant_6","ant_12","6_12",2021-08-02 08:23:57,2021-08-02 08:24:10,1627892637.562,1627892650.313,12551,12653,12.8759999275208,482,"ant_12","ant_6",1,"whole_experiment","REP14/R14SS"
15,21,2021-08-02 08:24:39,2021-08-02 08:25:34,12887,13327,1,"1-2,2-1,2-2",3464.53979950168,3190.39715706835,-2.94660842205376,3455.41040407399,3111.47884686684,-0.321225529994893,"1","1",61,"ant_15","ant_21","15_21",2021-08-02 08:24:39,2021-08-02 08:25:34,1627892679.563,1627892734.563,12887,13327,55.125,538,"ant_15","ant_21",1,"whole_experiment","REP14/R14SS"
16,31,2021-08-02 08:28:22,2021-08-02 08:28:23,14674,14677,1,"1-1,1-2,2-1,2-2",2534.94199730243,2769.31285144927,-2.98651181735532,2496.69911580583,2665.05755573048,2.3984784831303,"1","1",4,"ant_16","ant_31","16_31",2021-08-02 08:28:22,2021-08-02 08:28:23,1627892902.94,1627892903.315,14674,14677,0.5,640,"ant_16","ant_31",1,"whole_experiment","REP14/R14SS"
