"ant1","ant2","start","end","startframe","endframe","space","types","ant1.mean.x","ant1.mean.y","ant1.mean.angle","ant2.mean.x","ant2.mean.y","ant2.mean.angle","ant1.zones","ant2.zones","detections","ant1ID_str","ant2ID_str","pair","T_start_UNIX","T_stop_UNIX","T_start_sec","T_stop_sec","frame_start","frame_stop","duration","unique_interaction_id","Act_Name","Rec_Name","predicted_Hit","PERIOD","REPLICATE"
33,133,2021-03-15 09:18:54,2021-03-15 09:18:58,68,101,1,"1-2,2-2",3377.11030782738,2514.55343045465,3.03879659518307,3327.30067912472,2625.54942909477,1.46995161279599,"1","1",19,"ant_33","ant_133","33_133",2021-03-15 09:18:54,2021-03-15 09:18:58,1615799934.193,1615799938.318,68,101,4.25,38,"ant_33","ant_133",1,"whole_experiment","REP3/R3BP"
34,37,2021-03-15 09:19:46,2021-03-15 09:19:50,487,519,1,"2-1,2-2",3099.08971009845,1665.76407087846,0.167855804827212,3002.07419095363,1594.50904489409,0.0392761796581771,"1","1",18,"ant_34","ant_37","34_37",2021-03-15 09:19:46,2021-03-15 09:19:50,1615799986.569,1615799990.568,487,519,4.12400007247925,254,"ant_34","ant_37",1,"whole_experiment","REP3/R3BP"
100,131,2021-03-15 09:21:42,2021-03-15 09:21:42,1411,1414,1,"1-1,1-2,2-1,2-2",3074.4556823065,2077.26897401269,0.973215875943622,3130.95074878396,2223.55304296407,-2.35495454766484,"1","1",4,"ant_100","ant_131","100_131",2021-03-15 09:21:42,2021-03-15 09:21:42,1615800102.069,1615800102.444,1411,1414,0.5,587,"ant_100","ant_131",1,"whole_experiment","REP3/R3BP"
28,87,2021-03-15 09:22:01,2021-03-15 09:22:07,1567,1618,1,"1-1,1-2,2-1,2-2",2394.99696078565,3779.29485409248,-1.93124586255921,2264.12627902616,3712.99700116816,0.489106501051045,"1","1",50,"ant_28","ant_87","28_87",2021-03-15 09:22:01,2021-03-15 09:22:07,1615800121.569,1615800127.944,1567,1618,6.5,790,"ant_87","ant_28",1,"whole_experiment","REP3/R3BP"
94,147,2021-03-15 09:22:16,2021-03-15 09:22:18,1683,1703,1,"1-2,2-2",1332.53073888428,3538.86906467953,-1.04916205815912,1375.88786970497,3411.5070488616,-2.13114770065942,"1","1",8,"ant_94","ant_147","94_147",2021-03-15 09:22:16,2021-03-15 09:22:18,1615800136.069,1615800138.569,1683,1703,2.625,889,"ant_94","ant_147",1,"whole_experiment","REP3/R3BP"
91,154,2021-03-15 09:22:54,2021-03-15 09:23:04,1989,2068,1,"1-1,1-2,2-1,2-2",1115.46660317146,3312.70767054894,-0.716642684691222,1264.2340220889,3310.61582675978,-2.93478421070004,"1","1",43,"ant_91","ant_154","91_154",2021-03-15 09:22:54,2021-03-15 09:23:04,1615800174.32,1615800184.195,1989,2068,10,1196,"ant_91","ant_154",1,"whole_experiment","REP3/R3BP"
118,123,2021-03-15 09:23:23,2021-03-15 09:23:29,2220,2267,1,"2-1,2-2",3322.10649110992,2048.42497321971,-0.327069080080386,3343.30429130752,2154.19609411446,-2.03445027579529,"1","1",46,"ant_118","ant_123","118_123",2021-03-15 09:23:23,2021-03-15 09:23:29,1615800203.195,1615800209.07,2220,2267,6,1324,"ant_123","ant_118",1,"whole_experiment","REP3/R3BP"
128,129,2021-03-15 09:24:04,2021-03-15 09:24:06,2549,2564,1,"1-1,1-2,2-1,2-2",471.665672700754,2559.71423039987,-0.929269150284671,481.370190339324,2412.26172501452,1.94345108681964,"1","1",16,"ant_128","ant_129","128_129",2021-03-15 09:24:04,2021-03-15 09:24:06,1615800244.32,1615800246.196,2549,2564,2.00100016593933,1439,"ant_129","ant_128",1,"whole_experiment","REP3/R3BP"
10,153,2021-03-15 09:25:11,2021-03-15 09:25:33,3084,3264,1,"1-1,1-2,2-1,2-2",2780.4503468833,3789.34531851374,-1.90957463961227,2742.55974795605,3645.387715618,1.55316511324931,"1","1",147,"ant_10","ant_153","10_153",2021-03-15 09:25:11,2021-03-15 09:25:33,1615800311.196,1615800333.696,3084,3264,22.625,1616,"ant_10","ant_153",1,"whole_experiment","REP3/R3BP"
62,152,2021-03-15 09:25:15,2021-03-15 09:25:34,3121,3268,1,"1-2,2-1,2-2",2347.7742879441,2558.89635621188,0.602901485604586,2416.28162191507,2665.48825143869,2.05670283723463,"1","1",43,"ant_62","ant_152","62_152",2021-03-15 09:25:15,2021-03-15 09:25:34,1615800315.821,1615800334.197,3121,3268,18.5009999275208,1618,"ant_62","ant_152",1,"whole_experiment","REP3/R3BP"
5,85,2021-03-15 09:25:29,2021-03-15 09:25:36,3227,3284,1,"2-1,2-2",800.371643970586,3391.38966911022,0.74030953547905,850.832173982802,3275.60949482131,1.80668237096828,"1","1",24,"ant_5","ant_85","5_85",2021-03-15 09:25:29,2021-03-15 09:25:36,1615800329.071,1615800336.197,3227,3284,7.25099992752075,1620,"ant_85","ant_5",1,"whole_experiment","REP3/R3BP"
104,174,2021-03-15 09:26:11,2021-03-15 09:26:12,3570,3575,1,"2-1,2-2",1179.34077935296,4367.77395465962,0.547381512976835,1193.8476360427,4235.91637785749,1.83667758082893,"1","1",6,"ant_104","ant_174","104_174",2021-03-15 09:26:11,2021-03-15 09:26:12,1615800371.947,1615800372.572,3570,3575,0.75,1689,"ant_104","ant_174",1,"whole_experiment","REP3/R3BP"
33,40,2021-03-15 09:25:24,2021-03-15 09:26:36,3190,3764,1,"1-1,1-2,2-1,2-2",3065.18509134248,3941.90302015721,-0.659437837238868,3094.129152616,3950.31423168795,1.97255514467564,"1","1",35,"ant_33","ant_40","33_40",2021-03-15 09:25:24,2021-03-15 09:26:36,1615800324.447,1615800396.197,3190,3764,71.875,1754,"ant_33","ant_40",1,"whole_experiment","REP3/R3BP"
59,133,2021-03-15 09:27:52,2021-03-15 09:27:54,4372,4392,1,"1-2,2-2",3551.02679736289,2536.51615359701,1.41745006976599,3476.20495079154,2654.9560181489,2.69201670212839,"1","1",21,"ant_59","ant_133","59_133",2021-03-15 09:27:52,2021-03-15 09:27:54,1615800472.197,1615800474.697,4372,4392,2.625,1963,"ant_59","ant_133",1,"whole_experiment","REP3/R3BP"
16,146,2021-03-15 09:27:48,2021-03-15 09:28:00,4346,4440,1,"2-1,2-2",3098.47504277172,2906.69893357804,2.60615075908717,3248.12879497885,2905.04499389012,-2.47331837695829,"1","1",57,"ant_16","ant_146","16_146",2021-03-15 09:27:48,2021-03-15 09:28:00,1615800468.947,1615800480.697,4346,4440,11.875,1975,"ant_16","ant_146",1,"whole_experiment","REP3/R3BP"
74,118,2021-03-15 09:28:37,2021-03-15 09:28:45,4732,4802,1,"1-2,2-2",2518.00208287204,1683.32374307552,0.593511575019392,2597.49186039043,1798.20179444737,1.96664422186666,"1","1",55,"ant_74","ant_118","74_118",2021-03-15 09:28:37,2021-03-15 09:28:45,1615800517.198,1615800525.948,4732,4802,8.875,2053,"ant_74","ant_118",1,"whole_experiment","REP3/R3BP"
56,95,2021-03-15 09:29:39,2021-03-15 09:29:43,5231,5260,1,"1-2,2-1,2-2",2425.01437609609,3255.2411636562,-2.97460011378929,2403.78250651591,3143.23940960229,2.33085215879203,"1","1",7,"ant_56","ant_95","56_95",2021-03-15 09:29:39,2021-03-15 09:29:43,1615800579.573,1615800583.198,5231,5260,3.75,2164,"ant_95","ant_56",1,"whole_experiment","REP3/R3BP"
16,81,2021-03-15 09:29:20,2021-03-15 09:30:02,5077,5415,1,"2-1,2-2",3053.65666220556,2879.52175931711,2.57004304712386,3179.71880321933,2878.97547868591,-2.38424260902537,"1","1",216,"ant_16","ant_81","16_81",2021-03-15 09:29:20,2021-03-15 09:30:02,1615800560.323,1615800602.574,5077,5415,42.3759999275208,2198,"ant_81","ant_16",1,"whole_experiment","REP3/R3BP"
6,25,2021-03-15 09:29:54,2021-03-15 09:30:14,5350,5511,1,"2-1,2-2",1849.82502208522,3227.70634039413,-0.0671158162505421,1857.8984005271,3102.17389707506,1.78727276370052,"1","1",43,"ant_6","ant_25","6_25",2021-03-15 09:29:54,2021-03-15 09:30:14,1615800594.449,1615800614.574,5350,5511,20.25,2232,"ant_25","ant_6",1,"whole_experiment","REP3/R3BP"
143,159,2021-03-15 09:30:14,2021-03-15 09:30:19,5511,5548,1,"1-2,2-2",1394.57430765569,4287.46790847554,-1.89436528472139,1286.9594531518,4229.00264780131,2.41235124692814,"1","1",35,"ant_143","ant_159","143_159",2021-03-15 09:30:14,2021-03-15 09:30:19,1615800614.574,1615800619.199,5511,5548,4.75,2246,"ant_143","ant_159",1,"whole_experiment","REP3/R3BP"
64,121,2021-03-15 09:30:07,2021-03-15 09:30:23,5456,5584,1,"2-1,2-2",919.203844226574,2770.07881454658,-1.5805200177433,817.813885386481,2790.87852247807,0.0818325495813175,"1","1",56,"ant_64","ant_121","64_121",2021-03-15 09:30:07,2021-03-15 09:30:23,1615800607.699,1615800623.699,5456,5584,16.125,2257,"ant_121","ant_64",1,"whole_experiment","REP3/R3BP"
49,121,2021-03-15 09:30:03,2021-03-15 09:30:28,5425,5621,1,"1-1,1-2,2-1,2-2",840.384343235341,2687.55638458597,2.03271054094853,802.240202351562,2802.76718227879,0.0595742340349448,"1","1",104,"ant_49","ant_121","49_121",2021-03-15 09:30:03,2021-03-15 09:30:28,1615800603.824,1615800628.324,5425,5621,24.625,2265,"ant_121","ant_49",1,"whole_experiment","REP3/R3BP"
11,91,2021-03-15 09:31:02,2021-03-15 09:31:13,5897,5979,1,"1-2,2-2",816.442627144738,4216.97940053693,0.29259327032157,951.850473158232,4277.18286284977,0.674504098248149,"1","1",65,"ant_11","ant_91","11_91",2021-03-15 09:31:02,2021-03-15 09:31:13,1615800662.824,1615800673.075,5897,5979,10.3760001659393,2373,"ant_11","ant_91",1,"whole_experiment","REP3/R3BP"
12,36,2021-03-15 09:33:39,2021-03-15 09:33:40,7152,7156,1,"2-1,2-2",791.516160938846,4304.77556970711,2.51570656227993,746.128845290764,4211.28508997147,0.0729173390411404,"1","1",5,"ant_12","ant_36","12_36",2021-03-15 09:33:39,2021-03-15 09:33:40,1615800819.701,1615800820.201,7152,7156,0.625,2639,"ant_12","ant_36",1,"whole_experiment","REP3/R3BP"
108,162,2021-03-15 09:34:17,2021-03-15 09:34:20,7453,7481,1,"1-2,2-2",824.967965229213,2850.15815368924,-3.09666585488439,748.117617092039,2784.76970430655,-0.433579051099402,"1","1",17,"ant_108","ant_162","108_162",2021-03-15 09:34:17,2021-03-15 09:34:20,1615800857.326,1615800860.826,7453,7481,3.625,2768,"ant_162","ant_108",1,"whole_experiment","REP3/R3BP"
119,148,2021-03-15 09:34:16,2021-03-15 09:34:33,7448,7579,1,"2-1,2-2",2635.77035348007,2226.07175765154,-1.53632860800789,2666.59137579287,2377.03343432789,-2.10204347671011,"1","1",75,"ant_119","ant_148","119_148",2021-03-15 09:34:16,2021-03-15 09:34:33,1615800856.701,1615800873.076,7448,7579,16.5,2806,"ant_148","ant_119",1,"whole_experiment","REP3/R3BP"
109,129,2021-03-15 09:35:43,2021-03-15 09:35:44,8140,8149,1,"1-1,1-2,2-1,2-2",855.967818555959,2852.89634200127,-0.544426879346684,1006.90795916151,2842.13365468777,-2.92114213268696,"1","1",10,"ant_109","ant_129","109_129",2021-03-15 09:35:43,2021-03-15 09:35:44,1615800943.202,1615800944.327,8140,8149,1.25,3020,"ant_129","ant_109",1,"whole_experiment","REP3/R3BP"
73,148,2021-03-15 09:35:37,2021-03-15 09:35:45,8098,8159,1,"1-2,2-1,2-2",1691.85023854093,3090.30802578439,0.438449690597703,1721.7325684271,3190.7460472446,-0.271745919260153,"1","1",44,"ant_73","ant_148","73_148",2021-03-15 09:35:37,2021-03-15 09:35:45,1615800937.952,1615800945.577,8098,8159,7.75,3025,"ant_148","ant_73",1,"whole_experiment","REP3/R3BP"
107,113,2021-03-15 09:37:35,2021-03-15 09:37:37,9038,9051,1,"2-1,2-2",1127.7878348138,2779.93934376191,-2.39872579659025,1274.38034861097,2813.50445981555,-2.59384238669439,"1","1",14,"ant_107","ant_113","107_113",2021-03-15 09:37:35,2021-03-15 09:37:37,1615801055.453,1615801057.078,9038,9051,1.75,3286,"ant_113","ant_107",1,"whole_experiment","REP3/R3BP"
118,136,2021-03-15 09:37:44,2021-03-15 09:38:01,9110,9250,1,"2-1,2-2",2622.52420898911,1944.58988213043,0.97056692327636,2494.55525101472,1923.50950330529,-0.216364561919913,"1","1",33,"ant_118","ant_136","118_136",2021-03-15 09:37:44,2021-03-15 09:38:01,1615801064.453,1615801081.953,9110,9250,17.625,3325,"ant_136","ant_118",1,"whole_experiment","REP3/R3BP"
124,148,2021-03-15 09:38:16,2021-03-15 09:38:17,9368,9377,1,"1-1,1-2,2-1,2-2",1343.60939781055,2530.27799269553,2.43254884022474,1211.88716310003,2532.0318946953,0.948642303823354,"1","1",10,"ant_124","ant_148","124_148",2021-03-15 09:38:16,2021-03-15 09:38:17,1615801096.703,1615801097.828,9368,9377,1.25,3365,"ant_148","ant_124",1,"whole_experiment","REP3/R3BP"
