"ant1","ant2","start","end","startframe","endframe","space","types","ant1.mean.x","ant1.mean.y","ant1.mean.angle","ant2.mean.x","ant2.mean.y","ant2.mean.angle","ant1.zones","ant2.zones","detections","ant1ID_str","ant2ID_str","pair","T_start_UNIX","T_stop_UNIX","T_start_sec","T_stop_sec","frame_start","frame_stop","duration","unique_interaction_id","Act_Name","Rec_Name","predicted_Hit","PERIOD","REPLICATE"
15,20,2021-03-29 08:44:36,2021-03-29 08:44:53,174,311,1,"1-2,2-2",2607.29970117906,3448.92616125141,-0.961927816422407,2743.21314724351,3379.94241152481,-0.147588025923779,"1","1",29,"ant_15","ant_20","15_20",2021-03-29 08:44:36,2021-03-29 08:44:53,1617007476.621,1617007493.746,174,311,17.25,8,"ant_15","ant_20",1,"whole_experiment","REP5/R5SP"
2,14,2021-03-29 08:45:15,2021-03-29 08:45:46,486,733,1,"1-1,1-2,2-1,2-2",2524.75740680205,2788.26256018387,3.01416387750383,2404.37898409984,2830.03628399594,-1.49159927240299,"1","1",182,"ant_2","ant_14","2_14",2021-03-29 08:45:15,2021-03-29 08:45:46,1617007515.621,1617007546.496,486,733,31,18,"ant_2","ant_14",1,"whole_experiment","REP5/R5SP"
3,22,2021-03-29 08:55:17,2021-03-29 08:55:31,5297,5416,1,"2-1,2-2",2664.61832139167,3554.40371110037,2.31820737727206,2650.36952970635,3452.13787417702,1.4826521651729,"1","1",102,"ant_3","ant_22","3_22",2021-03-29 08:55:17,2021-03-29 08:55:31,1617008117,1617008131.875,5297,5416,15,175,"ant_22","ant_3",1,"whole_experiment","REP5/R5SP"
22,30,2021-03-29 08:55:34,2021-03-29 08:55:34,5435,5439,1,"1-2,2-2",2591.4521211193,3486.1425550817,2.4249419690815,2491.06178358061,3602.90915574191,-0.132191976680983,"1","1",4,"ant_22","ant_30","22_30",2021-03-29 08:55:34,2021-03-29 08:55:34,1617008134.25,1617008134.75,5435,5439,0.625,176,"ant_22","ant_30",1,"whole_experiment","REP5/R5SP"
15,19,2021-03-29 09:01:23,2021-03-29 09:01:27,8228,8258,1,"2-1,2-2",3220.80186712417,3548.2834331654,-0.145245727901384,3081.22572362473,3489.99160670585,1.07004482720604,"1","1",29,"ant_15","ant_19","15_19",2021-03-29 09:01:23,2021-03-29 09:01:27,1617008483.377,1617008487.127,8228,8258,3.875,248,"ant_19","ant_15",1,"whole_experiment","REP5/R5SP"
18,27,2021-03-29 09:05:18,2021-03-29 09:05:20,10108,10121,1,"1-2,2-1,2-2",3082.17075195531,3481.57836090616,-1.75611196391179,3086.35706174987,3331.97418976136,1.014872088677,"1","1",10,"ant_18","ant_27","18_27",2021-03-29 09:05:18,2021-03-29 09:05:20,1617008718.378,1617008720.003,10108,10121,1.75,355,"ant_27","ant_18",1,"whole_experiment","REP5/R5SP"
17,32,2021-03-29 09:06:45,2021-03-29 09:07:03,10803,10952,1,"2-1,2-2",2845.28198693258,3071.75087988588,-1.83308210949643,2861.16766045155,3197.04847846424,-1.58921300385601,"1","1",120,"ant_17","ant_32","17_32",2021-03-29 09:06:45,2021-03-29 09:07:03,1617008805.254,1617008823.879,10803,10952,18.75,405,"ant_17","ant_32",1,"whole_experiment","REP5/R5SP"
2,26,2021-03-29 09:11:43,2021-03-29 09:11:47,13192,13219,1,"1-1,1-2,2-1,2-2",3493.28673365234,3087.13800372985,2.67919123037517,3354.89911169737,3069.6559796843,1.07043522063455,"1","1",27,"ant_2","ant_26","2_26",2021-03-29 09:11:43,2021-03-29 09:11:47,1617009103.88,1617009107.256,13192,13219,3.50099992752075,470,"ant_26","ant_2",1,"whole_experiment","REP5/R5SP"
7,26,2021-03-29 09:15:11,2021-03-29 09:15:27,14849,14979,1,"2-1,2-2",3089.62850262704,3338.0304928227,-1.94466355542096,3182.31131200436,3333.61087553873,2.14815524158111,"1","1",49,"ant_7","ant_26","7_26",2021-03-29 09:15:11,2021-03-29 09:15:27,1617009311.007,1617009327.257,14849,14979,16.375,525,"ant_26","ant_7",1,"whole_experiment","REP5/R5SP"
11,21,2021-03-29 09:19:57,2021-03-29 09:20:13,17140,17268,1,"1-1,1-2,2-1,2-2",3455.85095665686,3085.87248079189,0.760779765094896,3569.49947315843,3126.4135514676,1.85225605476776,"1","1",54,"ant_11","ant_21","11_21",2021-03-29 09:19:57,2021-03-29 09:20:13,1617009597.383,1617009613.383,17140,17268,16.125,575,"ant_21","ant_11",1,"whole_experiment","REP5/R5SP"
12,31,2021-03-29 09:19:15,2021-03-29 09:20:14,16806,17276,1,"2-1,2-2",2413.87998639338,3430.57552208194,1.74041645088196,2387.91430632722,3305.03264693867,1.63954932074956,"1","1",314,"ant_12","ant_31","12_31",2021-03-29 09:19:15,2021-03-29 09:20:14,1617009555.633,1617009614.384,16806,17276,58.8760001659393,576,"ant_31","ant_12",1,"whole_experiment","REP5/R5SP"
