"ant1","ant2","start","end","startframe","endframe","space","types","ant1.mean.x","ant1.mean.y","ant1.mean.angle","ant2.mean.x","ant2.mean.y","ant2.mean.angle","ant1.zones","ant2.zones","detections","ant1ID_str","ant2ID_str","pair","T_start_UNIX","T_stop_UNIX","T_start_sec","T_stop_sec","frame_start","frame_stop","duration","unique_interaction_id","Act_Name","Rec_Name","predicted_Hit","PERIOD","REPLICATE"
4,19,2021-04-25 08:37:48,2021-04-25 08:37:52,200,234,1,"1-1,1-2,2-1,2-2",2888.4264311758,2000.37427067893,1.75165646565989,2967.2946093662,2106.42494344997,-2.62744123465341,"1","1",35,"ant_4","ant_19","4_19",2021-04-25 08:37:48,2021-04-25 08:37:52,1619339868.657,1619339872.908,200,234,4.37599992752075,46,"ant_19","ant_4",1,"whole_experiment","REP9/R9BS"
17,38,2021-04-25 08:40:50,2021-04-25 08:40:55,1653,1696,1,"1-1,1-2,2-1,2-2",3358.75264666764,2438.67689920451,-2.10127347115055,3293.91838650978,2284.18247587044,1.2783978396896,"1","1",31,"ant_17","ant_38","17_38",2021-04-25 08:40:50,2021-04-25 08:40:55,1619340050.283,1619340055.658,1653,1696,5.5,326,"ant_38","ant_17",1,"whole_experiment","REP9/R9BS"
28,151,2021-04-25 08:41:46,2021-04-25 08:41:47,2099,2107,1,"2-1,2-2",331.829140625557,1722.37066699304,1.48039848485683,457.822433020872,1804.46078540205,-2.57153773200015,"1","1",9,"ant_28","ant_151","28_151",2021-04-25 08:41:46,2021-04-25 08:41:47,1619340106.033,1619340107.034,2099,2107,1.12599992752075,387,"ant_151","ant_28",1,"whole_experiment","REP9/R9BS"
19,48,2021-04-25 08:43:24,2021-04-25 08:43:26,2885,2901,1,"1-1,1-2,2-1,2-2",2823.86822080007,2103.72944458424,-2.79237992135312,2701.16640029868,2003.14387460554,0.455516872971089,"1","1",13,"ant_19","ant_48","19_48",2021-04-25 08:43:24,2021-04-25 08:43:26,1619340204.284,1619340206.284,2885,2901,2.125,496,"ant_19","ant_48",1,"whole_experiment","REP9/R9BS"
49,152,2021-04-25 08:45:52,2021-04-25 08:45:58,4074,4118,1,"1-1,1-2,2-1,2-2",3298.85640194408,3685.24095470767,2.31952545611339,3305.18295515996,3794.2602564068,-2.04186530815874,"1","1",45,"ant_49","ant_152","49_152",2021-04-25 08:45:52,2021-04-25 08:45:58,1619340352.91,1619340358.41,4074,4118,5.625,666,"ant_152","ant_49",1,"whole_experiment","REP9/R9BS"
4,120,2021-04-25 08:47:03,2021-04-25 08:47:26,4639,4826,1,"2-1,2-2",2004.8583648108,1834.87222163372,-0.15677544834811,2062.56812228448,1938.44674314025,-2.10805313022792,"1","1",183,"ant_4","ant_120","4_120",2021-04-25 08:47:03,2021-04-25 08:47:26,1619340423.536,1619340446.911,4639,4826,23.5,811,"ant_4","ant_120",1,"whole_experiment","REP9/R9BS"
28,131,2021-04-25 08:48:03,2021-04-25 08:48:08,5122,5155,1,"2-1,2-2",239.72307531559,1925.85363589557,1.62704478899408,344.203683406508,1844.46563065351,2.30144435438944,"1","1",34,"ant_28","ant_131","28_131",2021-04-25 08:48:03,2021-04-25 08:48:08,1619340483.911,1619340488.036,5122,5155,4.25,897,"ant_131","ant_28",1,"whole_experiment","REP9/R9BS"
36,184,2021-04-25 08:48:27,2021-04-25 08:48:33,5314,5362,1,"1-2,2-2",869.939946705125,3176.29793748219,2.16975582988436,925.940844123819,3276.15491698407,0.376180629610392,"1","1",11,"ant_36","ant_184","36_184",2021-04-25 08:48:27,2021-04-25 08:48:33,1619340507.911,1619340513.911,5314,5362,6.125,954,"ant_36","ant_184",1,"whole_experiment","REP9/R9BS"
105,123,2021-04-25 08:50:38,2021-04-25 08:50:39,6361,6367,1,"1-1,1-2,2-1,2-2",2714.34972990245,2587.23391149458,0.346955013630078,2872.83286387508,2599.91398455615,2.89826449194433,"1","1",7,"ant_105","ant_123","105_123",2021-04-25 08:50:38,2021-04-25 08:50:39,1619340638.787,1619340639.537,6361,6367,0.875,1248,"ant_123","ant_105",1,"whole_experiment","REP9/R9BS"
77,149,2021-04-25 08:51:25,2021-04-25 08:51:50,6731,6937,1,"1-2,2-1,2-2",1155.15854215006,1466.7713035092,2.85688019357231,1186.74458447162,1574.93356323802,-1.3302853965357,"1","1",91,"ant_77","ant_149","77_149",2021-04-25 08:51:25,2021-04-25 08:51:50,1619340685.037,1619340710.788,6731,6937,25.8760001659393,1361,"ant_77","ant_149",1,"whole_experiment","REP9/R9BS"
55,112,2021-04-25 08:53:03,2021-04-25 08:53:13,7518,7598,1,"2-1,2-2",2445.67063735167,2092.31515155358,1.28136308808843,2485.86897420522,2021.88765123204,1.21823472019581,"1","1",48,"ant_55","ant_112","55_112",2021-04-25 08:53:03,2021-04-25 08:53:13,1619340783.413,1619340793.413,7518,7598,10.125,1502,"ant_112","ant_55",1,"whole_experiment","REP9/R9BS"
50,152,2021-04-25 08:54:55,2021-04-25 08:55:00,8414,8455,1,"1-1,1-2,2-1,2-2",2494.0963485972,3082.15182790887,-1.57950606657357,2391.93923079617,3055.18027150355,-0.789788632351517,"1","1",18,"ant_50","ant_152","50_152",2021-04-25 08:54:55,2021-04-25 08:55:00,1619340895.414,1619340900.539,8414,8455,5.25,1633,"ant_152","ant_50",1,"whole_experiment","REP9/R9BS"
137,147,2021-04-25 08:55:06,2021-04-25 08:55:10,8499,8538,1,"1-1,1-2,2-1,2-2",6330.93413811609,4354.13496100893,0.894691509586868,6444.46116111475,4449.37727364572,-2.64420226698427,"2","2",40,"ant_137","ant_147","137_147",2021-04-25 08:55:06,2021-04-25 08:55:10,1619340906.039,1619340910.914,8499,8538,5,1648,"ant_137","ant_147",1,"whole_experiment","REP9/R9BS"
82,143,2021-04-25 08:55:19,2021-04-25 08:55:28,8607,8680,1,"1-2,2-2",2658.22013467526,2524.11237907468,1.96597149821433,2608.20994269617,2662.21895446896,-2.0179048980994,"1","1",59,"ant_82","ant_143","82_143",2021-04-25 08:55:19,2021-04-25 08:55:28,1619340919.539,1619340928.664,8607,8680,9.25,1677,"ant_82","ant_143",1,"whole_experiment","REP9/R9BS"
21,26,2021-04-25 08:56:23,2021-04-25 08:56:25,9115,9131,1,"1-1,1-2,2-1,2-2",1877.16889744472,1553.89705784832,2.38218109525038,1813.40569160996,1680.00172443738,-1.80176337713064,"1","1",17,"ant_21","ant_26","21_26",2021-04-25 08:56:23,2021-04-25 08:56:25,1619340983.039,1619340985.039,9115,9131,2.125,1769,"ant_21","ant_26",1,"whole_experiment","REP9/R9BS"
55,129,2021-04-25 08:57:15,2021-04-25 08:57:23,9532,9599,1,"2-1,2-2",2439.16925262563,2162.25063715012,2.21109684510996,2338.48842950216,2096.4960913839,0.580463960098466,"1","1",59,"ant_55","ant_129","55_129",2021-04-25 08:57:15,2021-04-25 08:57:23,1619341035.165,1619341043.54,9532,9599,8.5,1852,"ant_129","ant_55",1,"whole_experiment","REP9/R9BS"
60,175,2021-04-25 08:59:16,2021-04-25 08:59:20,10501,10533,1,"1-1,1-2,2-1,2-2",1755.98090712947,4195.20913372014,-2.20808020071753,1610.48990778583,4152.41594072608,0.0632324175616883,"1","1",17,"ant_60","ant_175","60_175",2021-04-25 08:59:16,2021-04-25 08:59:20,1619341156.29,1619341160.29,10501,10533,4.125,2040,"ant_60","ant_175",1,"whole_experiment","REP9/R9BS"
134,158,2021-04-25 08:59:32,2021-04-25 08:59:35,10629,10653,1,"1-2,2-2",1751.59417732458,2501.31452608842,-2.41580734734869,1636.05615106827,2425.20801735725,-0.439556159212956,"1","1",14,"ant_134","ant_158","134_158",2021-04-25 08:59:32,2021-04-25 08:59:35,1619341172.29,1619341175.291,10629,10653,3.12599992752075,2067,"ant_158","ant_134",1,"whole_experiment","REP9/R9BS"
117,136,2021-04-25 08:58:16,2021-04-25 08:59:39,10022,10684,1,"1-1,1-2,2-1,2-2",547.728579113666,1811.74588032319,2.50915234742367,621.871831501161,1897.01971773646,-2.51657195967298,"1","1",380,"ant_117","ant_136","117_136",2021-04-25 08:58:16,2021-04-25 08:59:39,1619341096.415,1619341179.165,10022,10684,82.875,2073,"ant_136","ant_117",1,"whole_experiment","REP9/R9BS"
