colony	treatment	box	colony_size	Ynestmin	Ynestmax	nb_larvae	nb_pupae	colony_age	REP_treat
colony01BS	control.big	karla	155	NA	NA	NA	NA	NA	R1BS
colony01SP	pathogen.small	polyakov	35	NA	NA	NA	NA	NA	R1SP
colony01SS	control.small	westerby	29	NA	NA	NA	NA	NA	R1SS
colony10BP	pathogen.big	karla	186	NA	NA	NA	NA	NA	R10BP
colony11BP	pathogen.big	leamas	176	NA	NA	NA	NA	NA	R11BP
colony11BS	control.big	karla	195	NA	NA	NA	NA	NA	R11BS
colony11SP	pathogen.small	polyakov	34	NA	NA	NA	NA	NA	R11SP
colony11SS	control.small	westerby	32	NA	NA	NA	NA	NA	R11SS
colony12BP	pathogen.big	karla	192	NA	NA	NA	NA	NA	R12BP
colony12BS	control.big	leamas	194	NA	NA	NA	NA	NA	R12BS
colony12SP	pathogen.small	westerby	29	NA	NA	NA	NA	NA	R12SP
colony13BS	control.big	polyakov	181	NA	NA	NA	NA	NA	R13BS
colony13SP	pathogen.small	karla	29	NA	NA	NA	NA	NA	R13SP
colony13SS	control.small	leamas	30	NA	NA	NA	NA	NA	R13SS
colony14BP	pathogen.big	polyakov	138	NA	NA	NA	NA	NA	R14BP
colony14BS	control.big	westerby	165	NA	NA	NA	NA	NA	R14BS
colony14SP	pathogen.small	leamas	28	NA	NA	NA	NA	NA	R14SP
colony14SS	control.small	karla	32	NA	NA	NA	NA	NA	R14SS
colony02BP	pathogen.big	westerby	169	NA	NA	NA	NA	NA	R2BP
colony02BS	control.big	prideaux	171	NA	NA	NA	NA	NA	R2BS
colony02SP	pathogen.small	leamas	30	NA	NA	NA	NA	NA	R2SP
colony02SS	control.small	karla	32	NA	NA	NA	NA	NA	R2SS
colony03BP	pathogen.big	karla	188	NA	NA	NA	NA	NA	R3BP
colony03BS	control.big	westerby	180	NA	NA	NA	NA	NA	R3BS
colony03SP	pathogen.small	prideaux	29	NA	NA	NA	NA	NA	R3SP
colony03SS	control.small	leamas	29	NA	NA	NA	NA	NA	R3SS
colony04BP	pathogen.big	westerby	175	NA	NA	NA	NA	NA	R4BP
colony04SS	control.small	leamas	31	NA	NA	NA	NA	NA	R4SS
colony05BP	pathogen.big	leamas	176	NA	NA	NA	NA	NA	R5BP
colony05SP	pathogen.small	polyakov	33	NA	NA	NA	NA	NA	R5SP
colony05SS	control.small	westerby	30	NA	NA	NA	NA	NA	R5SS
colony06SP	pathogen.small	leamas	32	NA	NA	NA	NA	NA	R6SP
colony06SS	control.small	polyakov	29	NA	NA	NA	NA	NA	R6SS
colony07BP	pathogen.big	leamas	185	NA	NA	NA	NA	NA	R7BP
colony07BS	control.big	polyakov	185	NA	NA	NA	NA	NA	R7BS
colony07SP	pathogen.small	karla	28	NA	NA	NA	NA	NA	R7SP
colony07SS	control.small	westerby	28	NA	NA	NA	NA	NA	R7SS
colony08BP	pathogen.big	polyakov	180	NA	NA	NA	NA	NA	R8BP
colony08BS	control.big	leamas	188	NA	NA	NA	NA	NA	R8BS
colony08SP	pathogen.small	westerby	31	NA	NA	NA	NA	NA	R8SP
colony08SS	control.small	karla	32	NA	NA	NA	NA	NA	R8SS
colony09BS	control.big	polyakov	185	NA	NA	NA	NA	NA	R9BS
colony09SP	pathogen.small	karla	34	NA	NA	NA	NA	NA	R9SP
colony09SS	control.small	leamas	30	NA	NA	NA	NA	NA	R9SS
