colony	treatment	tag	age	status	alive_at_sampling_time	measured_load_ng_per_uL	above_detection_threshold	REP_treat
colony12BP	pathogen.big	1	NA	untreated	TRUE	0.005822949182631	TRUE	R12BP
colony12SP	pathogen.small	1	NA	untreated	TRUE	0.01401617	TRUE	R12SP
colony13SP	pathogen.small	1	NA	untreated	TRUE	0.00874031	TRUE	R13SP
colony14BP	pathogen.big	1	NA	untreated	TRUE	0.03961457	TRUE	R14BP
colony14SP	pathogen.small	1	NA	untreated	TRUE	0.02065166	TRUE	R14SP
colony12BP	pathogen.big	2	NA	untreated	TRUE	0.001984833128238	TRUE	R12BP
colony08BP	pathogen.big	2	NA	untreated	TRUE	0.004256253633424	TRUE	R8BP
colony12BP	pathogen.big	3	NA	untreated	TRUE	0.019287147420258	TRUE	R12BP
colony08BP	pathogen.big	3	NA	untreated	TRUE	0.002439944793231	TRUE	R8BP
colony08SP	pathogen.small	1	NA	untreated	TRUE	0.03290247	TRUE	R8SP
colony11BP	pathogen.big	1	NA	untreated	TRUE	0.00589349	TRUE	R11BP
colony12BP	pathogen.big	4	NA	treated	TRUE	3.34056556473294	TRUE	R12BP
colony02BP	pathogen.big	3	NA	untreated	TRUE	0.00532749	TRUE	R2BP
colony08BP	pathogen.big	4	NA	untreated	TRUE	0.029085397263831	TRUE	R8BP
colony08BP	pathogen.big	5	NA	untreated	TRUE	0.013772332526643	TRUE	R8BP
colony11SP	pathogen.small	1	NA	untreated	TRUE	0.05885867754361	TRUE	R11SP
colony12BP	pathogen.big	5	NA	untreated	TRUE	0.027454718807247	TRUE	R12BP
colony12BP	pathogen.big	6	NA	untreated	TRUE	0.039260967714611	TRUE	R12BP
colony08BP	pathogen.big	7	NA	untreated	TRUE	0.001810205999802	TRUE	R8BP
colony12BP	pathogen.big	7	NA	untreated	TRUE	0.006722920876814	TRUE	R12BP
colony05SP	pathogen.small	1	NA	untreated	TRUE	0.032160700525723	TRUE	R5SP
colony08BP	pathogen.big	8	NA	untreated	TRUE	0.021760180825686	TRUE	R8BP
colony12BP	pathogen.big	8	NA	untreated	TRUE	0.011387096471262	TRUE	R12BP
colony01SP	pathogen.small	1	NA	untreated	TRUE	0.055230693952289	TRUE	R1SP
colony07SP	pathogen.small	1	NA	untreated	TRUE	0.007397287531604	TRUE	R7SP
colony08BP	pathogen.big	10	NA	untreated	TRUE	0.003167933088039	TRUE	R8BP
colony12BP	pathogen.big	9	NA	untreated	TRUE	0.00095521470597	TRUE	R12BP
colony01SP	pathogen.small	2	NA	untreated	TRUE	0.02188587931154	TRUE	R1SP
colony06SP	pathogen.small	1	NA	untreated	TRUE	0.00334387	TRUE	R6SP
colony12BP	pathogen.big	10	NA	untreated	TRUE	0.001549947543017	TRUE	R12BP
colony08BP	pathogen.big	12	NA	untreated	TRUE	0.004754819115452	TRUE	R8BP
colony12BP	pathogen.big	11	NA	untreated	TRUE	0.00097846208142	TRUE	R12BP
colony02SP	pathogen.small	1	NA	untreated	TRUE	0.007280563599321	TRUE	R2SP
colony08BP	pathogen.big	13	NA	untreated	TRUE	0.115901084572894	TRUE	R8BP
colony12BP	pathogen.big	12	NA	untreated	TRUE	0.002522022751021	TRUE	R12BP
colony08BP	pathogen.big	14	NA	untreated	TRUE	0.000685314624992	TRUE	R8BP
colony01SP	pathogen.small	3	NA	untreated	TRUE	0.044487551114501	TRUE	R1SP
colony10BP	pathogen.big	13	NA	untreated	TRUE	0.00769771	TRUE	R10BP
colony05BP	pathogen.big	1	NA	untreated	TRUE	0.008376257117997	TRUE	R5BP
colony11SP	pathogen.small	2	NA	untreated	TRUE	0.012227833034476	TRUE	R11SP
colony03BP	pathogen.big	1	NA	untreated	TRUE	0.027222813006299	TRUE	R3BP
colony11SP	pathogen.small	3	NA	untreated	TRUE	0.013887034038414	TRUE	R11SP
colony11SP	pathogen.small	4	NA	untreated	TRUE	0.024697955284276	TRUE	R11SP
colony07BP	pathogen.big	1	NA	untreated	TRUE	0.006973037487397	TRUE	R7BP
colony11SP	pathogen.small	5	NA	untreated	TRUE	0.037466014770507	TRUE	R11SP
colony05SP	pathogen.small	2	NA	untreated	TRUE	0.004418445474667	TRUE	R5SP
colony05SP	pathogen.small	3	NA	untreated	TRUE	0.004376480522673	TRUE	R5SP
colony05SP	pathogen.small	4	NA	untreated	TRUE	0.000630654501506	TRUE	R5SP
colony02SP	pathogen.small	2	NA	untreated	TRUE	0.003480623114734	TRUE	R2SP
colony03BP	pathogen.big	2	NA	untreated	TRUE	0.002813617133825	TRUE	R3BP
colony02SP	pathogen.small	3	NA	untreated	TRUE	0.00309415096998	TRUE	R2SP
colony03BP	pathogen.big	3	NA	untreated	TRUE	0.000168913748575	FALSE	R3BP
colony02SP	pathogen.small	4	NA	untreated	TRUE	0.00309415096998	TRUE	R2SP
colony03BP	pathogen.big	4	NA	untreated	TRUE	0.244655509350369	TRUE	R3BP
colony03BP	pathogen.big	5	NA	untreated	TRUE	0.035251532341995	TRUE	R3BP
colony03BP	pathogen.big	6	NA	treated	TRUE	10.5304031936311	TRUE	R3BP
colony03BP	pathogen.big	7	NA	untreated	TRUE	0.028647583898969	TRUE	R3BP
colony03BP	pathogen.big	8	NA	treated	TRUE	2.47584812268739	TRUE	R3BP
colony03BP	pathogen.big	8	NA	treated	TRUE	0.000102886406751	FALSE	R3BP
colony07BP	pathogen.big	2	NA	untreated	TRUE	0.008553266424147	TRUE	R7BP
colony07SP	pathogen.small	2	NA	untreated	TRUE	0.004489283167841	TRUE	R7SP
colony03BP	pathogen.big	9	NA	untreated	TRUE	0.001036566096397	TRUE	R3BP
colony07BP	pathogen.big	3	NA	untreated	TRUE	0.006177247467316	TRUE	R7BP
colony03BP	pathogen.big	10	NA	untreated	TRUE	0.003635373189372	TRUE	R3BP
colony07BP	pathogen.big	4	NA	untreated	TRUE	0.001262030933551	TRUE	R7BP
colony07SP	pathogen.small	3	NA	untreated	TRUE	0.153823787325563	TRUE	R7SP
colony03BP	pathogen.big	11	NA	untreated	TRUE	0.560953678126358	TRUE	R3BP
colony07BP	pathogen.big	5	NA	untreated	TRUE	0.002116398767765	TRUE	R7BP
colony03BP	pathogen.big	12	NA	untreated	TRUE	0.015479288691971	TRUE	R3BP
colony07BP	pathogen.big	6	NA	untreated	TRUE	0.001288504679115	TRUE	R7BP
colony03BP	pathogen.big	13	NA	untreated	TRUE	0.011769391240642	TRUE	R3BP
colony07BP	pathogen.big	7	NA	untreated	TRUE	0.001575133978048	TRUE	R7BP
colony03BP	pathogen.big	14	NA	untreated	TRUE	0.001047557812274	TRUE	R3BP
colony07BP	pathogen.big	8	NA	untreated	TRUE	0.01185830182261	TRUE	R7BP
colony03BP	pathogen.big	15	NA	untreated	TRUE	0.000202800490004	FALSE	R3BP
colony07BP	pathogen.big	9	NA	untreated	TRUE	0.00261848445503	TRUE	R7BP
colony03BP	pathogen.big	16	NA	untreated	TRUE	0.010540227869419	TRUE	R3BP
colony07BP	pathogen.big	10	NA	treated	TRUE	2.23176005435168	TRUE	R7BP
colony03BP	pathogen.big	17	NA	untreated	TRUE	0.000935892571186	TRUE	R3BP
colony07BP	pathogen.big	11	NA	untreated	TRUE	0.004021818800995	TRUE	R7BP
colony03BP	pathogen.big	18	NA	untreated	TRUE	0.001244517477375	TRUE	R3BP
colony07BP	pathogen.big	12	NA	untreated	TRUE	0.000636849042226	TRUE	R7BP
colony03BP	pathogen.big	19	NA	untreated	TRUE	0.241238711411683	TRUE	R3BP
colony07BP	pathogen.big	13	NA	untreated	TRUE	0.015257275909629	TRUE	R7BP
colony03BP	pathogen.big	20	NA	untreated	TRUE	0.00186028720923	TRUE	R3BP
colony07BP	pathogen.big	14	NA	untreated	TRUE	0.019036166732141	TRUE	R7BP
colony03BP	pathogen.big	21	NA	untreated	TRUE	0.058900638135073	TRUE	R3BP
colony03BP	pathogen.big	22	NA	untreated	TRUE	0.204492789871515	TRUE	R3BP
colony07BP	pathogen.big	16	NA	untreated	TRUE	0.000354596545203	TRUE	R7BP
colony03BP	pathogen.big	23	NA	untreated	TRUE	0.045186218703862	TRUE	R3BP
colony07BP	pathogen.big	17	NA	untreated	TRUE	0.003133101755963	TRUE	R7BP
colony03BP	pathogen.big	24	NA	untreated	TRUE	0.022349458233832	TRUE	R3BP
colony07BP	pathogen.big	18	NA	untreated	TRUE	0.001427055947848	TRUE	R7BP
colony03BP	pathogen.big	25	NA	untreated	TRUE	0.005744417545211	TRUE	R3BP
colony07BP	pathogen.big	19	NA	untreated	TRUE	0.068469238852319	TRUE	R7BP
colony12BP	pathogen.big	13	NA	untreated	TRUE	0.003340450187678	TRUE	R12BP
colony03BP	pathogen.big	26	NA	untreated	TRUE	0.008861821541426	TRUE	R3BP
colony08BP	pathogen.big	15	NA	untreated	TRUE	0.007682454556793	TRUE	R8BP
colony12BP	pathogen.big	14	NA	untreated	TRUE	0.020334757610568	TRUE	R12BP
colony03BP	pathogen.big	27	NA	untreated	TRUE	0.000768779864528	TRUE	R3BP
colony08BP	pathogen.big	16	NA	treated	TRUE	0.050774072639556	TRUE	R8BP
colony05BP	pathogen.big	2	NA	untreated	TRUE	0.015092458835703	TRUE	R5BP
colony08BP	pathogen.big	17	NA	untreated	TRUE	0.006747843474861	TRUE	R8BP
colony05BP	pathogen.big	3	NA	untreated	TRUE	0.076078159936829	TRUE	R5BP
colony12BP	pathogen.big	15	NA	untreated	TRUE	0.002935736010236	TRUE	R12BP
colony12BP	pathogen.big	16	NA	untreated	TRUE	0.018714447064014	TRUE	R12BP
colony05BP	pathogen.big	4	NA	untreated	TRUE	0.001032797076693	TRUE	R5BP
colony08BP	pathogen.big	19	NA	untreated	TRUE	0.003195195971729	TRUE	R8BP
colony12BP	pathogen.big	17	NA	untreated	TRUE	0.006998113792028	TRUE	R12BP
colony05BP	pathogen.big	5	NA	untreated	TRUE	0.004959524043059	TRUE	R5BP
colony12BP	pathogen.big	18	NA	treated	TRUE	0.47471067721474	TRUE	R12BP
colony05BP	pathogen.big	6	NA	untreated	TRUE	0.243027265324248	TRUE	R5BP
colony08BP	pathogen.big	20	NA	untreated	TRUE	0.001179254385479	TRUE	R8BP
colony12BP	pathogen.big	19	NA	untreated	TRUE	0.109793087984854	TRUE	R12BP
colony05BP	pathogen.big	7	NA	untreated	TRUE	0.005308172161246	TRUE	R5BP
colony08BP	pathogen.big	21	NA	untreated	TRUE	0.003681154115198	TRUE	R8BP
colony12BP	pathogen.big	20	NA	untreated	TRUE	0.059276697545088	TRUE	R12BP
colony08BP	pathogen.big	22	NA	treated	TRUE	4.8655506736644	TRUE	R8BP
colony12BP	pathogen.big	21	NA	untreated	TRUE	0.003759447289124	TRUE	R12BP
colony05BP	pathogen.big	8	NA	untreated	TRUE	0.00357713227695	TRUE	R5BP
colony08BP	pathogen.big	23	NA	treated	TRUE	0.196731996800658	TRUE	R8BP
colony05BP	pathogen.big	9	NA	untreated	TRUE	0.017066717507579	TRUE	R5BP
colony08BP	pathogen.big	24	NA	untreated	TRUE	0.007562858937364	TRUE	R8BP
colony12BP	pathogen.big	22	NA	untreated	TRUE	0.000937085029894	TRUE	R12BP
colony05BP	pathogen.big	10	NA	untreated	TRUE	0.116229133471547	TRUE	R5BP
colony08BP	pathogen.big	25	NA	untreated	TRUE	0.00099967769004	TRUE	R8BP
colony12BP	pathogen.big	23	NA	untreated	TRUE	0.000508456729898	FALSE	R12BP
colony01SP	pathogen.small	4	NA	untreated	TRUE	0.027257592841408	TRUE	R1SP
colony05BP	pathogen.big	11	NA	untreated	TRUE	0.02217966590337	TRUE	R5BP
colony08BP	pathogen.big	26	NA	untreated	TRUE	0.005967535345538	TRUE	R8BP
colony12BP	pathogen.big	24	NA	untreated	TRUE	0.010398459388334	TRUE	R12BP
colony05BP	pathogen.big	12	NA	treated	TRUE	7.52246195561061	TRUE	R5BP
colony08BP	pathogen.big	27	NA	untreated	TRUE	0.008424177325587	TRUE	R8BP
colony12BP	pathogen.big	25	NA	untreated	TRUE	0.016575666491939	TRUE	R12BP
colony05BP	pathogen.big	13	NA	untreated	TRUE	0.051268427853152	TRUE	R5BP
colony08BP	pathogen.big	28	NA	untreated	TRUE	0.005806775021588	TRUE	R8BP
colony05BP	pathogen.big	14	NA	untreated	TRUE	0.008512850372268	TRUE	R5BP
colony08BP	pathogen.big	29	NA	untreated	TRUE	0.914113241470251	TRUE	R8BP
colony05BP	pathogen.big	15	NA	untreated	TRUE	0.010403632435574	TRUE	R5BP
colony08BP	pathogen.big	30	NA	untreated	TRUE	0.015153658644983	TRUE	R8BP
colony12BP	pathogen.big	26	NA	untreated	TRUE	0.003266600317941	TRUE	R12BP
colony05BP	pathogen.big	16	NA	untreated	TRUE	0.007528093422822	TRUE	R5BP
colony08BP	pathogen.big	31	NA	untreated	TRUE	0.013174526033635	TRUE	R8BP
colony12BP	pathogen.big	27	NA	untreated	TRUE	0.004150696702474	TRUE	R12BP
colony05BP	pathogen.big	17	NA	untreated	TRUE	0.005024119955102	TRUE	R5BP
colony08BP	pathogen.big	32	NA	untreated	TRUE	0.004812796513913	TRUE	R8BP
colony12BP	pathogen.big	28	NA	untreated	TRUE	0.002625258056896	TRUE	R12BP
colony01SP	pathogen.small	5	NA	treated	TRUE	7.74811396466071	TRUE	R1SP
colony05BP	pathogen.big	18	NA	untreated	TRUE	0.034437768320722	TRUE	R5BP
colony12BP	pathogen.big	29	NA	untreated	TRUE	0.005604011269914	TRUE	R12BP
colony05BP	pathogen.big	19	NA	untreated	TRUE	0.038816824138717	TRUE	R5BP
colony05BP	pathogen.big	20	NA	untreated	TRUE	0.078834260844042	TRUE	R5BP
colony12BP	pathogen.big	30	NA	untreated	TRUE	0.008131487523882	TRUE	R12BP
colony05BP	pathogen.big	21	NA	untreated	TRUE	0.117742973674223	TRUE	R5BP
colony05BP	pathogen.big	22	NA	untreated	TRUE	0.003519735269214	TRUE	R5BP
colony05BP	pathogen.big	23	NA	untreated	TRUE	0.330468447356638	TRUE	R5BP
colony05BP	pathogen.big	24	NA	untreated	TRUE	0.027018423204847	TRUE	R5BP
colony05BP	pathogen.big	25	NA	untreated	TRUE	0.012429681489752	TRUE	R5BP
colony05BP	pathogen.big	26	NA	untreated	TRUE	0.009229963848405	TRUE	R5BP
colony05BP	pathogen.big	27	NA	untreated	TRUE	0.091188484910541	TRUE	R5BP
colony05SP	pathogen.small	5	NA	untreated	TRUE	0.001261706963543	TRUE	R5SP
colony05BP	pathogen.big	28	NA	untreated	TRUE	0.007241441056782	TRUE	R5BP
colony05SP	pathogen.small	6	NA	untreated	TRUE	0.241655397623429	TRUE	R5SP
colony03BP	pathogen.big	28	NA	untreated	TRUE	0.003366216155716	TRUE	R3BP
colony02SP	pathogen.small	5	NA	untreated	TRUE	0.007612126554746	TRUE	R2SP
colony02SP	pathogen.small	6	NA	untreated	TRUE	0.001576389378553	TRUE	R2SP
colony02SP	pathogen.small	7	NA	untreated	TRUE	0.097294322893145	TRUE	R2SP
colony07BP	pathogen.big	20	NA	untreated	TRUE	0.093971465543295	TRUE	R7BP
colony07SP	pathogen.small	4	NA	untreated	TRUE	0.001627340751201	TRUE	R7SP
colony07BP	pathogen.big	21	NA	untreated	TRUE	0.041539857272321	TRUE	R7BP
colony07BP	pathogen.big	22	NA	untreated	TRUE	0.000950167124756	TRUE	R7BP
colony07SP	pathogen.small	5	NA	untreated	TRUE	0.002007508995515	TRUE	R7SP
colony07BP	pathogen.big	23	NA	untreated	TRUE	0.414593033241022	TRUE	R7BP
colony07BP	pathogen.big	24	NA	untreated	TRUE	0.000227787296399	FALSE	R7BP
colony07BP	pathogen.big	25	NA	untreated	TRUE	0.000576248754875	TRUE	R7BP
colony07BP	pathogen.big	26	NA	untreated	TRUE	0.001351403377492	TRUE	R7BP
colony01SP	pathogen.small	6	NA	untreated	TRUE	0.016542151730075	TRUE	R1SP
colony07BP	pathogen.big	27	NA	untreated	TRUE	0.001199602880717	TRUE	R7BP
colony07BP	pathogen.big	28	NA	untreated	TRUE	0.127118131329117	TRUE	R7BP
colony07BP	pathogen.big	29	NA	untreated	TRUE	0.013666506114489	TRUE	R7BP
colony07BP	pathogen.big	30	NA	untreated	TRUE	0.007515346347413	TRUE	R7BP
colony07BP	pathogen.big	31	NA	untreated	TRUE	0.228078842362017	TRUE	R7BP
colony07BP	pathogen.big	32	NA	untreated	TRUE	0.002734226574611	TRUE	R7BP
colony07BP	pathogen.big	33	NA	untreated	TRUE	0.001323168032929	TRUE	R7BP
colony07BP	pathogen.big	34	NA	untreated	TRUE	0.079742987116777	TRUE	R7BP
colony07BP	pathogen.big	35	NA	untreated	TRUE	0.171717675140408	TRUE	R7BP
colony11SP	pathogen.small	6	NA	untreated	TRUE	0.006853564431417	TRUE	R11SP
colony07BP	pathogen.big	36	NA	untreated	TRUE	0.025192716530791	TRUE	R7BP
colony11SP	pathogen.small	7	NA	untreated	TRUE	0.358511012025895	TRUE	R11SP
colony07BP	pathogen.big	37	NA	untreated	TRUE	0.001121263022407	TRUE	R7BP
colony08BP	pathogen.big	33	NA	untreated	TRUE	0.011007938638183	TRUE	R8BP
colony11SP	pathogen.small	9	NA	untreated	TRUE	0.041480644923866	TRUE	R11SP
colony12BP	pathogen.big	32	NA	untreated	TRUE	0.004956612867641	TRUE	R12BP
colony08BP	pathogen.big	34	NA	untreated	TRUE	0.018618041756348	TRUE	R8BP
colony12BP	pathogen.big	33	NA	untreated	TRUE	0.019758592297117	TRUE	R12BP
colony08BP	pathogen.big	35	NA	untreated	TRUE	0.041765722633417	TRUE	R8BP
