tag	count	last_det	rot	displacement_distance	displacement_angle	antenna_reach	trapezoid_length	type	size	headwidth	death	age	final_status	group	REP_treat
1	2714204	1468800	0.392	0	0	NA	NA	N	0	0	0	0	alive	queen	R1SS
2	2673861	1468800	2.846	0	0	NA	NA	N	0	0	0	0	alive	nurse	R1SS
3	2603453	1468800	101.497	0	0	NA	NA	N	0	0	0	0	alive	forager	R1SS
4	2714709	1468800	-90.492	0	0	NA	NA	N	0	0	0	0	alive	forager	R1SS
5	2710704	1468800	-4.409	0	0	NA	NA	N	0	0	0	0	alive	nurse	R1SS
6	2606655	1468800	89.952	0	0	NA	NA	N	0	0	0	0	alive	nurse	R1SS
7	2717615	1468800	87.011	0	0	NA	NA	N	0	0	0	0	alive	forager	R1SS
9	2638195	1468800	97.163	0	0	NA	NA	N	0	0	0	0	alive	nurse	R1SS
10	2623107	1468800	97.547	0	0	NA	NA	N	0	0	0	0	alive	nurse	R1SS
11	2739864	1468800	101.588	0	0	NA	NA	N	0	0	0	0	alive	forager	R1SS
12	2647441	1468800	159.289	0	0	NA	NA	N	0	0	0	0	alive	nurse	R1SS
13	2641742	1468800	-108.738	0	0	NA	NA	N	0	0	0	0	alive	nurse	R1SS
14	2682470	1468800	-99.968	0	0	NA	NA	N	0	0	0	0	alive	nurse	R1SS
15	2657519	1468800	85.506	0	0	NA	NA	N	0	0	0	0	alive	nurse	R1SS
16	2552443	1468800	-174.835	0	0	NA	NA	N	0	0	0	0	alive	forager	R1SS
17	2719097	1468800	-143.561	0	0	NA	NA	N	0	0	0	0	alive	nurse	R1SS
18	2682334	1468800	-94.785	0	0	NA	NA	N	0	0	0	0	alive	nurse	R1SS
19	2421882	1468800	14.413	0	0	NA	NA	N	0	0	0	0	alive	nurse	R1SS
20	2677798	1468800	-99.105	0	0	NA	NA	N	0	0	0	0	alive	forager	R1SS
21	2633662	1468800	-91.017	0	0	NA	NA	N	0	0	0	0	alive	nurse	R1SS
22	2687964	1468800	-175.905	0	0	NA	NA	N	0	0	0	0	alive	nurse	R1SS
23	2623720	1468800	-101.665	0	0	NA	NA	N	0	0	0	0	alive	nurse	R1SS
24	2715742	1468800	-91.495	0	0	NA	NA	N	0	0	0	0	alive	forager	R1SS
25	2590855	1468800	6.789	0	0	NA	NA	N	0	0	0	0	alive	forager	R1SS
26	2693780	1468800	75.601	0	0	NA	NA	N	0	0	0	0	alive	nurse	R1SS
27	2642749	1468800	177.737	0	0	NA	NA	N	0	0	0	0	alive	nurse	R1SS
28	2662763	1468800	87.07	0	0	NA	NA	N	0	0	0	0	alive	nurse	R1SS
29	2693377	1468800	-67.043	0	0	NA	NA	N	0	0	0	0	alive	nurse	R1SS
