tag	count	last_det	rot	displacement_distance	displacement_angle	antenna_reach	trapezoid_length	type	size	headwidth	death	age	final_status	group	REP_treat
1	2722159	1468800	88.173	0	0	NA	NA	N	0	0	0	0	alive	queen	R7SP
2	2271841	1468800	-0.011	0	0	NA	NA	N	0	0	0	0	alive	forager	R7SP
3	2499158	1468800	83.944	0	0	NA	NA	N	0	0	0	0	alive	forager	R7SP
4	2669416	1468800	-10.724	0	0	NA	NA	N	0	0	0	0	alive	forager	R7SP
5	2621836	1468800	98.314	0	0	NA	NA	N	0	0	0	0	alive	forager	R7SP
6	2692433	1468800	-95.759	0	0	NA	NA	N	0	0	0	0	alive	forager	R7SP
7	2596098	1468800	91.413	0	0	NA	NA	N	0	0	0	0	alive	forager	R7SP
8	2523100	1468800	7.811	0	0	NA	NA	N	0	0	0	0	alive	nurse	R7SP
9	2640804	1468800	-97.29	0	0	NA	NA	N	0	0	0	0	alive	nurse	R7SP
10	2289367	1468800	177.192	0	0	NA	NA	N	0	0	0	0	alive	nurse	R7SP
11	2373073	1468800	97.199	0	0	NA	NA	N	0	0	0	0	alive	forager	R7SP
12	2105107	1468800	81.016	0	0	NA	NA	N	0	0	0	0	alive	forager	R7SP
14	2606407	1468800	-6.008	0	0	NA	NA	N	0	0	0	0	alive	forager	R7SP
15	2608546	1468800	165.432	0	0	NA	NA	N	0	0	0	0	alive	forager	R7SP
17	2648881	1468800	-86.47	0	0	NA	NA	N	0	0	0	0	alive	forager	R7SP
19	2613735	1468800	2.496	0	0	NA	NA	N	0	0	0	0	alive	forager	R7SP
20	2634208	1468800	-94.66	0	0	NA	NA	N	0	0	0	0	alive	forager	R7SP
21	2607580	1468800	3.93	0	0	NA	NA	N	0	0	0	0	alive	forager	R7SP
22	2674941	1468800	3.111	0	0	NA	NA	N	0	0	0	0	alive	forager	R7SP
23	2694310	1468800	-75.363	0	0	NA	NA	N	0	0	0	0	alive	nurse	R7SP
24	2589705	1468800	-92.883	0	0	NA	NA	N	0	0	0	0	alive	forager	R7SP
25	2548291	1468800	-3.8	0	0	NA	NA	N	0	0	0	0	alive	forager	R7SP
26	2540516	1468800	-175.337	0	0	NA	NA	N	0	0	0	0	alive	nurse	R7SP
27	2473074	1468800	9.353	0	0	NA	NA	N	0	0	0	0	alive	forager	R7SP
28	2667357	1468800	-14.971	0	0	NA	NA	N	0	0	0	0	alive	forager	R7SP
