tag	count	last_det	rot	displacement_distance	displacement_angle	antenna_reach	trapezoid_length	type	size	headwidth	death	age	final_status	group	REP_treat
2	2734681	1468800	93.44	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
3	2738014	1468800	-170.292	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
4	2749777	1468800	-177.767	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
5	2322102	1468800	-56.939	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
7	2694833	1468800	-87.909	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
8	2666539	1468800	99.842	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
9	2629789	1468800	-11.807	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
10	2700562	1468800	83.329	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
12	2553009	1468800	-2.578	0	0	NA	NA	N	0	0	0	0	alive	queen	R8BP
13	2700878	1468800	1.267	0	0	NA	NA	N	0	0	0	0	alive	nurse	R8BP
14	2730737	1468800	-11.368	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
15	2747057	1468800	-99.935	0	0	NA	NA	N	0	0	0	0	alive	nurse	R8BP
16	2675853	1468800	-104.544	0	0	NA	NA	N	0	0	0	0	alive	nurse	R8BP
17	2733357	1468800	-12.004	0	0	NA	NA	N	0	0	0	0	alive	nurse	R8BP
19	2736794	1468800	101.904	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
20	2700908	1468800	8.417	0	0	NA	NA	N	0	0	0	0	alive	nurse	R8BP
21	2758097	1468800	101.317	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
22	2681113	1468800	-2.212	0	0	NA	NA	N	0	0	0	0	alive	nurse	R8BP
23	2680625	1468800	83.713	0	0	NA	NA	N	0	0	0	0	alive	nurse	R8BP
24	2732973	1468800	-92.392	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
25	2734502	1468800	73.31	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
26	2748238	1468800	-7.834	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
27	2743989	1468800	21.909	0	0	NA	NA	N	0	0	0	0	alive	nurse	R8BP
28	2740283	1468800	-88.391	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
29	2743429	1468800	94.518	0	0	NA	NA	N	0	0	0	0	alive	nurse	R8BP
30	2741226	1468800	-96.729	0	0	NA	NA	N	0	0	0	0	alive	nurse	R8BP
31	2735413	1468800	78.706	0	0	NA	NA	N	0	0	0	0	alive	nurse	R8BP
32	2694488	1468800	-2.318	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
33	2746785	1468800	-102.023	0	0	NA	NA	N	0	0	0	0	alive	nurse	R8BP
34	2644766	1468800	175.431	0	0	NA	NA	N	0	0	0	0	alive	nurse	R8BP
35	2722530	1468800	179.602	0	0	NA	NA	N	0	0	0	0	alive	nurse	R8BP
36	2687144	1468800	161.83	0	0	NA	NA	N	0	0	0	0	alive	nurse	R8BP
37	2626046	1468800	-89.42	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
38	2735792	1468800	-0.465	0	0	NA	NA	N	0	0	0	0	alive	nurse	R8BP
39	2710107	1468800	6.701	0	0	NA	NA	N	0	0	0	0	alive	nurse	R8BP
40	2725512	1468800	-176.067	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
41	2684504	1468800	-171.155	0	0	NA	NA	N	0	0	0	0	alive	nurse	R8BP
42	2751139	1468800	-109.431	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
43	2719255	1468800	-177.381	0	0	NA	NA	N	0	0	0	0	alive	nurse	R8BP
44	2724334	1468800	-25.529	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
45	2746103	1468800	89.86	0	0	NA	NA	N	0	0	0	0	alive	nurse	R8BP
46	2731514	1468800	80.541	0	0	NA	NA	N	0	0	0	0	alive	nurse	R8BP
47	2624433	1468800	-90.338	0	0	NA	NA	N	0	0	0	0	alive	nurse	R8BP
49	2717132	1468800	-83.697	0	0	NA	NA	N	0	0	0	0	alive	nurse	R8BP
50	2669941	1468800	-2.755	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
51	2634831	1468800	-7.545	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
52	2747323	1468800	-131.778	0	0	NA	NA	N	0	0	0	0	alive	nurse	R8BP
53	2715147	1468800	-75.409	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
54	2736591	1468800	-97.738	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
55	2713921	1468800	6.17	0	0	NA	NA	N	0	0	0	0	alive	nurse	R8BP
56	2736276	1468800	-11.477	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
57	2681703	1468800	95.718	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
58	2726331	1468800	99.672	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
59	2707105	1468800	88.101	0	0	NA	NA	N	0	0	0	0	alive	forager	R8BP
