tag	count	last_det	rot	displacement_distance	displacement_angle	antenna_reach	trapezoid_length	type	size	headwidth	death	age	final_status	group	REP_treat
1	2376862	1468800	88.098	0	0	NA	NA	N	0	0	0	0	alive	queen	R12BS
2	2737382	1468800	-0.377	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
3	2541740	1468800	-111.292	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
4	2629171	1468800	-165.703	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
5	2745737	1468800	177.904	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
6	2671621	1468800	175.379	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
7	2618283	1468800	80.195	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
8	2356711	1468800	88.827	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
9	2590707	1468800	-178.185	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
10	2504166	1468800	-1.13	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
11	2695798	1468800	60.564	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
12	2722056	1468800	-89.855	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
13	2647353	1468800	102	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
14	2714563	1468800	-89.917	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
15	2669059	1468800	98.433	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
16	2705571	1468800	-95.457	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
17	2764249	1468800	177.627	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
18	2541949	1468800	-6.654	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
19	2749219	1468800	74.505	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
20	2699807	1468800	-92.66	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
21	2591768	1468800	-96.7	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
22	2549881	1468800	-177.755	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
23	2692196	1468800	88.239	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
24	2774674	1468800	-93.226	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
25	2667534	1468800	-88.321	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
26	2614497	1468800	86.763	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
27	2703614	1468800	177.985	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
28	2494877	1468800	-16.357	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
29	2673515	1468800	84.081	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
30	2595883	1468800	-100.734	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
31	2719689	1468800	69.747	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
32	2750244	1468800	84.87	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
33	2706103	1468800	176.472	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
34	2690335	1468800	-87.312	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
35	2739822	1468800	-91.752	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
36	2610793	1468800	84.503	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
37	2685306	1468800	98.801	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
38	2754251	1468800	0.586	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
39	2743669	1468800	100.039	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
40	2713370	1468800	89.896	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
41	2570141	1468800	20.942	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
42	2481297	1468800	-146.628	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
43	2611631	1468800	178.31	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
44	2701732	1468800	-80.367	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
45	2736184	1468800	-4.487	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
46	2632569	1468800	32.97	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
47	2640416	1468800	-93.44	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
48	2687610	1468800	81.288	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
50	2709535	1468800	-94.713	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
51	2536237	1468800	-31.57	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
52	2652271	1468800	178.821	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
53	2660646	1468800	2.466	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
54	2694578	1468800	94.135	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
55	2728036	1468800	102.804	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
56	2732210	1468800	-95.287	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
57	2716977	1468800	-74.635	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
58	2648811	1468800	99.566	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
59	2720575	1468800	171.045	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
60	2682641	1468800	-89.722	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
61	2674804	1468800	2.688	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
62	2581231	1468800	79.011	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
63	2657777	1468800	15.273	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
64	2468846	1468800	136.758	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
65	2694461	1468800	178.38	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
66	2663426	1468800	-164.867	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
67	2462431	1468800	-179.764	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
68	2730544	1468800	-81.306	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
69	2678375	1468800	170.559	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
70	2632769	1468800	175.668	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
71	2711062	1468800	92.234	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
72	2637870	1468800	176.091	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
73	2735611	1468800	-91.689	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
74	2663099	1468800	-68.058	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
75	2693846	1468800	2.475	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
76	2668933	1468800	173.953	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
77	2731162	1468800	-167.68	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
78	2642633	1468800	-151.174	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
79	2594358	1468800	89.844	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
80	2568825	1468800	11.612	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
81	2693434	1468800	96.086	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
