colony	tag	task_group	treatment	REP_treat
colony01BS	1	queen	control.big	R1BS
colony01BS	2	nurse	control.big	R1BS
colony01BS	3	nurse	control.big	R1BS
colony01BS	4	nurse	control.big	R1BS
colony01BS	5	forager	control.big	R1BS
colony01BS	6	nurse	control.big	R1BS
colony01BS	7	nurse	control.big	R1BS
colony01BS	8	nurse	control.big	R1BS
colony01BS	9	forager	control.big	R1BS
colony01BS	11	nurse	control.big	R1BS
colony01BS	12	nurse	control.big	R1BS
colony01BS	13	nurse	control.big	R1BS
colony01BS	14	nurse	control.big	R1BS
colony01BS	15	nurse	control.big	R1BS
colony01BS	16	nurse	control.big	R1BS
colony01BS	17	nurse	control.big	R1BS
colony01BS	18	nurse	control.big	R1BS
colony01BS	19	nurse	control.big	R1BS
colony01BS	21	nurse	control.big	R1BS
colony01BS	22	nurse	control.big	R1BS
colony01BS	23	forager	control.big	R1BS
colony01BS	24	forager	control.big	R1BS
colony01BS	25	nurse	control.big	R1BS
colony01BS	26	nurse	control.big	R1BS
colony01BS	27	nurse	control.big	R1BS
colony01BS	28	nurse	control.big	R1BS
colony01BS	29	nurse	control.big	R1BS
colony01BS	30	nurse	control.big	R1BS
colony01BS	31	forager	control.big	R1BS
colony01BS	32	forager	control.big	R1BS
colony01BS	33	nurse	control.big	R1BS
colony01BS	35	nurse	control.big	R1BS
colony01BS	36	nurse	control.big	R1BS
colony01BS	37	forager	control.big	R1BS
colony01BS	38	nurse	control.big	R1BS
colony01BS	39	nurse	control.big	R1BS
colony01BS	40	nurse	control.big	R1BS
colony01BS	41	forager	control.big	R1BS
colony01BS	42	forager	control.big	R1BS
colony01BS	43	nurse	control.big	R1BS
colony01BS	44	forager	control.big	R1BS
colony01BS	45	forager	control.big	R1BS
colony01BS	46	nurse	control.big	R1BS
colony01BS	47	nurse	control.big	R1BS
colony01BS	49	forager	control.big	R1BS
colony01BS	50	forager	control.big	R1BS
colony01BS	51	nurse	control.big	R1BS
colony01BS	52	forager	control.big	R1BS
colony01BS	53	nurse	control.big	R1BS
colony01BS	54	forager	control.big	R1BS
colony01BS	55	nurse	control.big	R1BS
colony01BS	56	nurse	control.big	R1BS
colony01BS	57	nurse	control.big	R1BS
colony01BS	58	nurse	control.big	R1BS
colony01BS	60	nurse	control.big	R1BS
colony01BS	61	nurse	control.big	R1BS
colony01BS	62	nurse	control.big	R1BS
colony01BS	63	nurse	control.big	R1BS
colony01BS	64	nurse	control.big	R1BS
colony01BS	65	nurse	control.big	R1BS
colony01BS	66	nurse	control.big	R1BS
colony01BS	67	forager	control.big	R1BS
colony01BS	68	forager	control.big	R1BS
colony01BS	69	nurse	control.big	R1BS
colony01BS	70	nurse	control.big	R1BS
colony01BS	71	nurse	control.big	R1BS
colony01BS	72	nurse	control.big	R1BS
colony01BS	73	nurse	control.big	R1BS
colony01BS	74	nurse	control.big	R1BS
colony01BS	75	nurse	control.big	R1BS
colony01BS	76	nurse	control.big	R1BS
colony01BS	77	nurse	control.big	R1BS
colony01BS	78	nurse	control.big	R1BS
colony01BS	80	forager	control.big	R1BS
colony01BS	81	forager	control.big	R1BS
colony01BS	82	forager	control.big	R1BS
colony01BS	83	nurse	control.big	R1BS
colony01BS	84	nurse	control.big	R1BS
colony01BS	85	forager	control.big	R1BS
