colony	tag	survived_treatment	treatment	REP_treat
colony01BS	6	TRUE	control.big	R1BS
colony01BS	8	TRUE	control.big	R1BS
colony01BS	17	TRUE	control.big	R1BS
colony01BS	55	TRUE	control.big	R1BS
colony01BS	62	TRUE	control.big	R1BS
colony01BS	72	TRUE	control.big	R1BS
colony01BS	84	TRUE	control.big	R1BS
colony01BS	90	TRUE	control.big	R1BS
colony01BS	113	TRUE	control.big	R1BS
colony01BS	123	TRUE	control.big	R1BS
colony01SP	5	TRUE	pathogen.small	R1SP
colony01SP	13	TRUE	pathogen.small	R1SP
colony01SP	16	TRUE	pathogen.small	R1SP
colony01SS	10	TRUE	control.small	R1SS
colony01SS	22	TRUE	control.small	R1SS
colony10BP	2	TRUE	pathogen.big	R10BP
colony10BP	4	TRUE	pathogen.big	R10BP
colony10BP	34	TRUE	pathogen.big	R10BP
colony10BP	35	TRUE	pathogen.big	R10BP
colony10BP	53	TRUE	pathogen.big	R10BP
colony10BP	70	TRUE	pathogen.big	R10BP
colony10BP	73	TRUE	pathogen.big	R10BP
colony10BP	76	TRUE	pathogen.big	R10BP
colony10BP	79	TRUE	pathogen.big	R10BP
colony10BP	83	TRUE	pathogen.big	R10BP
colony10BP	84	TRUE	pathogen.big	R10BP
colony10BP	86	TRUE	pathogen.big	R10BP
colony10BP	109	TRUE	pathogen.big	R10BP
colony10BP	113	TRUE	pathogen.big	R10BP
colony10BP	133	TRUE	pathogen.big	R10BP
colony10BP	139	TRUE	pathogen.big	R10BP
colony10BP	185	TRUE	pathogen.big	R10BP
colony11BP	20	TRUE	pathogen.big	R11BP
colony11BP	27	TRUE	pathogen.big	R11BP
colony11BP	28	TRUE	pathogen.big	R11BP
colony11BP	45	TRUE	pathogen.big	R11BP
colony11BP	52	TRUE	pathogen.big	R11BP
colony11BP	63	TRUE	pathogen.big	R11BP
colony11BP	68	TRUE	pathogen.big	R11BP
colony11BP	77	TRUE	pathogen.big	R11BP
colony11BP	89	TRUE	pathogen.big	R11BP
colony11BP	91	TRUE	pathogen.big	R11BP
colony11BP	96	TRUE	pathogen.big	R11BP
colony11BP	99	TRUE	pathogen.big	R11BP
colony11BP	101	TRUE	pathogen.big	R11BP
colony11BP	130	TRUE	pathogen.big	R11BP
colony11BP	132	TRUE	pathogen.big	R11BP
colony11BP	144	TRUE	pathogen.big	R11BP
colony11BP	161	TRUE	pathogen.big	R11BP
colony11BS	23	TRUE	control.big	R11BS
colony11BS	25	TRUE	control.big	R11BS
colony11BS	30	TRUE	control.big	R11BS
colony11BS	41	TRUE	control.big	R11BS
colony11BS	46	TRUE	control.big	R11BS
colony11BS	61	TRUE	control.big	R11BS
colony11BS	66	TRUE	control.big	R11BS
colony11BS	75	TRUE	control.big	R11BS
colony11BS	85	TRUE	control.big	R11BS
colony11BS	88	TRUE	control.big	R11BS
colony11BS	91	TRUE	control.big	R11BS
colony11BS	105	TRUE	control.big	R11BS
colony11BS	144	TRUE	control.big	R11BS
colony11BS	149	TRUE	control.big	R11BS
colony11BS	151	TRUE	control.big	R11BS
colony11BS	177	TRUE	control.big	R11BS
colony11BS	191	TRUE	control.big	R11BS
colony11SP	19	TRUE	pathogen.small	R11SP
