"ant1","ant2","start","end","space","types","ant1.mean.x","ant1.mean.y","ant1.mean.angle","ant2.mean.x","ant2.mean.y","ant2.mean.angle","ant1.zones","ant2.zones","ant1ID_str","ant2ID_str","pair","T_start_UNIX","T_stop_UNIX","T_start_sec","T_stop_sec","frame_start","frame_stop","duration","unique_interaction_id","Act_Name","Rec_Name","predicted_Hit","PERIOD","REPLICATE"
27,138,2021-03-14 09:23:35,2021-03-14 09:23:44,1,"1-1,1-2,2-1,2-2",2453.86389973879,2256.62975473282,2.77116146292447,2327.14553440107,2226.9972521503,0.3897888432252,"1","1","ant_27","ant_138","27_138",2021-03-14 09:23:35,2021-03-14 09:23:44,1615713815.613,1615713824.613,88,160,9.125,3,"ant_138","ant_27",1,"whole_experiment","REP3/R3BS"
74,78,2021-03-14 09:26:10,2021-03-14 09:26:20,1,"1-1,1-2,2-1,2-2",954.626214031376,3495.42759802188,-1.46461326751753,1024.56089558909,3499.13867753615,-1.84496942573286,"1","1","ant_74","ant_78","74_78",2021-03-14 09:26:10,2021-03-14 09:26:20,1615713970.864,1615713980.239,1330,1405,9.5,46,"ant_78","ant_74",1,"whole_experiment","REP3/R3BS"
120,136,2021-03-14 09:25:59,2021-03-14 09:26:32,1,"1-1,1-2",2034.01976715135,4149.72309952554,-3.13462438306915,2107.89483214719,4232.64994248843,-2.69539034911789,"1","1","ant_120","ant_136","120_136",2021-03-14 09:25:59,2021-03-14 09:26:32,1615713959.989,1615713992.615,1243,1504,32.7509999275208,51,"ant_136","ant_120",1,"whole_experiment","REP3/R3BS"
27,138,2021-03-14 09:24:13,2021-03-14 09:27:10,1,"1-1,1-2,2-1,2-2",2589.67941240109,2283.67883250782,-0.745831049044634,2499.55543898843,2220.43340895702,0.770981456023828,"1","1","ant_27","ant_138","27_138",2021-03-14 09:24:13,2021-03-14 09:27:10,1615713853.863,1615714030.49,394,1807,176.75200009346,59,"ant_138","ant_27",1,"whole_experiment","REP3/R3BS"
27,138,2021-03-14 09:27:32,2021-03-14 09:28:15,1,"1-1,1-2,2-1,2-2",2575.59585698707,2385.64234232556,0.404365221639663,2676.51288430505,2325.5347281324,2.13466727948697,"1","1","ant_27","ant_138","27_138",2021-03-14 09:27:32,2021-03-14 09:28:15,1615714052.115,1615714095.24,1980,2325,43.25,87,"ant_138","ant_27",1,"whole_experiment","REP3/R3BS"
149,175,2021-03-14 09:34:39,2021-03-14 09:34:51,1,"1-1,1-2",3355.07013602042,1889.18408697503,-0.569885702315243,3359.27099273131,1993.43997026467,-2.17591639150674,"1","1","ant_149","ant_175","149_175",2021-03-14 09:34:39,2021-03-14 09:34:51,1615714479.87,1615714491.12,5402,5492,11.375,174,"ant_175","ant_149",1,"whole_experiment","REP3/R3BS"
149,175,2021-03-14 09:35:28,2021-03-14 09:35:39,1,"1-1,1-2",3245.01769769454,1856.31257063133,-1.98534228300561,3260.6884113649,1949.6519115503,-2.69059137150204,"1","1","ant_149","ant_175","149_175",2021-03-14 09:35:28,2021-03-14 09:35:39,1615714528.37,1615714539.245,5790,5877,11,180,"ant_175","ant_149",1,"whole_experiment","REP3/R3BS"
149,175,2021-03-14 09:36:21,2021-03-14 09:38:30,1,"1-1,1-2,2-1,2-2",3536.50548078026,2214.68951862524,1.72463385023659,3468.57954395847,2158.32220677236,0.935754417900315,"1","1","ant_149","ant_175","149_175",2021-03-14 09:36:21,2021-03-14 09:38:30,1615714581.12,1615714710.872,6212,7250,129.87700009346,198,"ant_175","ant_149",1,"whole_experiment","REP3/R3BS"
74,118,2021-03-14 09:51:05,2021-03-14 09:52:04,1,"1-1,1-2",1392.64119827569,3660.79049644108,-2.51313220726157,1393.95700507609,3775.8670482031,-1.17895664336711,"1","1","ant_74","ant_118","74_118",2021-03-14 09:51:05,2021-03-14 09:52:04,1615715465.754,1615715524.88,13289,13762,59.2510001659393,332,"ant_118","ant_74",1,"whole_experiment","REP3/R3BS"
10,125,2021-03-14 09:56:21,2021-03-14 09:57:36,1,"1-1,1-2,2-1,2-2",3126.23223508225,2830.0406570248,-1.01670728096367,3029.57999817196,2770.99796979581,0.599375208621916,"1","1","ant_10","ant_125","10_125",2021-03-14 09:56:21,2021-03-14 09:57:36,1615715781.632,1615715856.383,15816,16414,74.8759999275208,398,"ant_125","ant_10",1,"whole_experiment","REP3/R3BS"
