"ant1","ant2","start","end","space","types","ant1.mean.x","ant1.mean.y","ant1.mean.angle","ant2.mean.x","ant2.mean.y","ant2.mean.angle","ant1.zones","ant2.zones","ant1ID_str","ant2ID_str","pair","T_start_UNIX","T_stop_UNIX","T_start_sec","T_stop_sec","frame_start","frame_stop","duration","unique_interaction_id","Act_Name","Rec_Name","predicted_Hit","PERIOD","REPLICATE"
15,63,2021-04-19 08:44:21,2021-04-19 08:46:45,1,"1-1,2-1",1752.57504133601,1789.78844030517,-1.45709982602645,1753.65222358787,1778.79215493007,-1.20340610188218,"1","1","ant_15","ant_63","15_63",2021-04-19 08:44:21,2021-04-19 08:46:45,1618821861.114,1618822005.74,2415,3572,144.750999927521,102,"ant_15","ant_63",1,"whole_experiment","REP8/R8BP"
15,63,2021-04-19 08:47:08,2021-04-19 08:47:57,1,"1-1,1-2,2-1,2-2",1792.32503929192,1785.70983505636,1.91531249116544,1768.80664773814,1872.14230855406,-0.971046960053551,"1","1","ant_15","ant_63","15_63",2021-04-19 08:47:08,2021-04-19 08:47:57,1618822028.865,1618822077.615,3757,4147,48.875,118,"ant_15","ant_63",1,"whole_experiment","REP8/R8BP"
98,179,2021-04-19 09:06:55,2021-04-19 09:07:42,1,"1-1,1-2",1199.75123266738,3991.84351783959,-0.955626159355111,1140.04304595304,4115.63752853467,-0.773005798965707,"1","1","ant_98","ant_179","98_179",2021-04-19 09:06:55,2021-04-19 09:07:42,1618823215.747,1618823262.747,13252,13628,47.125,437,"ant_179","ant_98",1,"whole_experiment","REP8/R8BP"
155,179,2021-04-19 09:08:16,2021-04-19 09:08:49,1,"1-1,1-2",1919.0034477399,4514.11412482018,-0.401263199574756,1784.88867160931,4518.66170173311,-0.00316269386927368,"1","1","ant_155","ant_179","155_179",2021-04-19 09:08:16,2021-04-19 09:08:49,1618823296.873,1618823329.998,13901,14166,33.25,467,"ant_179","ant_155",1,"whole_experiment","REP8/R8BP"
98,179,2021-04-19 09:10:12,2021-04-19 09:11:19,1,"1-1,1-2,2-1",1229.17806157373,3967.02679382716,-0.978655449132236,1339.65019824949,3965.46227105476,2.63207870485012,"1","1","ant_98","ant_179","98_179",2021-04-19 09:10:12,2021-04-19 09:11:19,1618823412.748,1618823479.499,14828,15362,66.8760001659393,532,"ant_179","ant_98",1,"whole_experiment","REP8/R8BP"
59,124,2021-04-19 09:13:10,2021-04-19 09:13:20,1,"1-1,1-2",2045.01203787572,3783.1480327693,-0.645434074953468,1995.49510861769,3890.14560913764,-1.37284288962686,"1","1","ant_59","ant_124","59_124",2021-04-19 09:13:10,2021-04-19 09:13:20,1618823590.5,1618823600.749,16250,16332,10.3740000724792,562,"ant_124","ant_59",1,"whole_experiment","REP8/R8BP"
140,164,2021-04-19 09:15:15,2021-04-19 09:15:46,1,"1-1,2-1",2726.10820247986,3017.21888591996,-0.697208328146239,2808.26041000518,2936.95953689452,-1.11830154654347,"1","1","ant_140","ant_164","140_164",2021-04-19 09:15:15,2021-04-19 09:15:46,1618823715.125,1618823746.75,17247,17500,31.75,604,"ant_140","ant_164",1,"whole_experiment","REP8/R8BP"
29,124,2021-04-19 09:36:21,2021-04-19 09:37:05,1,"1-1,1-2",2340.94264354177,3938.45202608428,-2.53655218744188,2388.38517139673,4024.71915677527,-1.99590202259646,"1","1","ant_29","ant_124","29_124",2021-04-19 09:36:21,2021-04-19 09:37:05,1618824981.132,1618825025.758,27375,27732,44.7509999275208,899,"ant_124","ant_29",1,"whole_experiment","REP8/R8BP"
81,117,2021-04-19 10:38:53,2021-04-19 10:40:40,1,"1-1,2-1",2853.29018106508,2558.73738356879,-0.395446837882197,2957.94809477609,2513.46888946275,-0.549071588753964,"1","1","ant_81","ant_117","81_117",2021-04-19 10:38:53,2021-04-19 10:40:40,1618828733.531,1618828840.031,57394,58246,106.625,1612,"ant_81","ant_117",1,"whole_experiment","REP8/R8BP"
81,117,2021-04-19 10:41:03,2021-04-19 10:43:18,1,"1-1,1-2,2-1,2-2",2901.90639896294,2352.36660044383,2.73004480254808,2823.97905053758,2373.58074872691,-2.71969670023236,"1","1","ant_81","ant_117","81_117",2021-04-19 10:41:03,2021-04-19 10:43:18,1618828863.282,1618828998.907,58432,59517,135.75,1648,"ant_81","ant_117",1,"whole_experiment","REP8/R8BP"
