"Loop_ID" "CAPSULE_FILE" "DT_dist_THRESHOLD" "MAX_INTERACTION_GAP" "DISAGREEMENT_THRESH" "DT_frame_THRESHOLD" "trim_length_sec" "beta" "classifier" "CSI_pre_classifier" "Fbeta_pre_classifier" "precision_pre_classifier" "sensitivity_pre_classifier" "CSI_training" "Fbeta_training" "precision_training" "sensitivity_training" "CSI_test" "Fbeta_test" "precision_test" "sensitivity_test"
1 "CapsuleDef3" 0 15 0.5 32 2 0.5 "fit_RF_all" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.575 0.784 0.825 0.655 0.259 0.558 0.734 0.285
1 "CapsuleDef3" 0 15 0.5 32 2 0.5 "fit_RF_sbc" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.35 0.444 0.405 0.72 0.26 0.352 0.321 0.58
1 "CapsuleDef3" 0 15 0.5 32 2 0.5 "fit_RF_ros" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.575 0.784 0.825 0.655 0.341 0.599 0.68 0.406
1 "CapsuleDef3" 0 15 0.5 32 2 0.5 "fit_RF_rus" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.381 0.484 0.448 0.717 0.285 0.396 0.37 0.556
1 "CapsuleDef3" 0 15 0.5 32 2 0.5 "fit_RF_smote" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.575 0.784 0.825 0.655 0.37 0.613 0.673 0.451
1 "CapsuleDef3" 0 15 0.5 32 2 0.5 "fit_RF_borderline_smote_type1" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.575 0.784 0.825 0.655 0.344 0.621 0.724 0.395
1 "CapsuleDef3" 0 15 0.5 32 2 0.5 "fit_RF_borderline_smote_type2" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.575 0.784 0.825 0.655 0.338 0.614 0.716 0.391
1 "CapsuleDef3" 0 15 0.5 32 2 0.5 "fit_SVM_all" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.503 0.714 0.747 0.606 0.313 0.531 0.576 0.407
1 "CapsuleDef3" 0 15 0.5 32 2 0.5 "fit_SVM_sbc" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.241 0.303 0.264 0.737 0.168 0.219 0.189 0.604
1 "CapsuleDef3" 0 15 0.5 32 2 0.5 "fit_SVM_ros" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.542 0.72 0.732 0.677 0.308 0.515 0.549 0.412
