"Loop_ID" "CAPSULE_FILE" "DT_dist_THRESHOLD_BL" "MAX_INTERACTION_GAP" "DISAGREEMENT_THRESH" "DT_frame_THRESHOLD" "trim_length_sec" "beta" "classifier" "CSI_pre_classifier" "Fbeta_pre_classifier" "precision_pre_classifier" "sensitivity_pre_classifier" "CSI_training" "Fbeta_training" "precision_training" "sensitivity_training" "CSI_test" "Fbeta_test" "precision_test" "sensitivity_test"
1 "CapsuleDef3" 0 25 0.5 32 3 0.5 "fit_RF_all" 0.0509274131770264 0.0634702706964391 0.0515984787599741 0.796575448361163 0.579 0.769 0.796 0.679 0.26 0.609 0.89 0.269
1 "CapsuleDef3" 0 25 0.5 32 3 0.5 "fit_RF_sbc" 0.0509274131770264 0.0634702706964391 0.0515984787599741 0.796575448361163 0.286 0.355 0.312 0.776 0.285 0.362 0.322 0.716
1 "CapsuleDef3" 0 25 0.5 32 3 0.5 "fit_RF_ros" 0.0509274131770264 0.0634702706964391 0.0515984787599741 0.796575448361163 0.579 0.769 0.796 0.679 0.336 0.658 0.826 0.362
1 "CapsuleDef3" 0 25 0.5 32 3 0.5 "fit_RF_rus" 0.0509274131770264 0.0634702706964391 0.0515984787599741 0.796575448361163 0.316 0.39 0.347 0.779 0.355 0.449 0.409 0.729
1 "CapsuleDef3" 0 25 0.5 32 3 0.5 "fit_RF_smote" 0.0509274131770264 0.0634702706964391 0.0515984787599741 0.796575448361163 0.579 0.769 0.796 0.679 0.464 0.699 0.749 0.55
1 "CapsuleDef3" 0 25 0.5 32 3 0.5 "fit_RF_borderline_smote_type1" 0.0509274131770264 0.0634702706964391 0.0515984787599741 0.796575448361163 0.579 0.769 0.796 0.679 0.379 0.703 0.865 0.402
1 "CapsuleDef3" 0 25 0.5 32 3 0.5 "fit_RF_borderline_smote_type2" 0.0509274131770264 0.0634702706964391 0.0515984787599741 0.796575448361163 0.579 0.769 0.796 0.679 0.424 0.694 0.779 0.482
1 "CapsuleDef3" 0 25 0.5 32 3 0.5 "fit_SVM_all" 0.0509274131770264 0.0634702706964391 0.0515984787599741 0.796575448361163 0.548 0.745 0.772 0.654 0.284 0.612 0.82 0.303
1 "CapsuleDef3" 0 25 0.5 32 3 0.5 "fit_SVM_sbc" 0.0509274131770264 0.0634702706964391 0.0515984787599741 0.796575448361163 0.247 0.306 0.266 0.781 0.272 0.344 0.305 0.719
1 "CapsuleDef3" 0 25 0.5 32 3 0.5 "fit_SVM_ros" 0.0509274131770264 0.0634702706964391 0.0515984787599741 0.796575448361163 0.552 0.721 0.728 0.695 0.407 0.659 0.727 0.48
