Column,Behaviour,Actor,Receiver,Focal,T_start,T_stop,period,treatment_rep,T_start_UNIX,T_stop_UNIX,duration
1,SG,1,NA,1,2021-03-15T12:13:21.670072964Z,2021-03-15T12:13:22.920146703Z,pre,R3SP,2021-03-15 12:13:21,2021-03-15 12:13:22,1.25007367134094
2,SG,1,NA,1,2021-03-15T12:14:04.045392881Z,2021-03-15T12:14:18.920503331Z,pre,R3SP,2021-03-15 12:14:04,2021-03-15 12:14:18,14.8751103878021
3,SG,1,NA,1,2021-03-15T12:14:35.295623522Z,2021-03-15T12:14:42.295730634Z,pre,R3SP,2021-03-15 12:14:35,2021-03-15 12:14:42,7.00010704994202
4,SG,1,NA,1,2021-03-15T12:14:44.795771984Z,2021-03-15T12:15:15.795998026Z,pre,R3SP,2021-03-15 12:14:44,2021-03-15 12:15:15,31.000226020813
5,SG,1,NA,1,2021-03-15T12:15:19.921030939Z,2021-03-15T12:15:30.046014286Z,pre,R3SP,2021-03-15 12:15:19,2021-03-15 12:15:30,10.1249833106995
6,SG,1,NA,1,2021-03-15T12:16:38.671458236Z,2021-03-15T12:24:06.799884216Z,pre,R3SP,2021-03-15 12:16:38,2021-03-15 12:24:06,448.128426074982
8,SG,1,NA,1,2021-03-15T12:24:26.299981531Z,2021-03-15T12:25:01.050213101Z,pre,R3SP,2021-03-15 12:24:26,2021-03-15 12:25:01,34.7502315044403
9,SG,1,NA,1,2021-03-15T12:25:15.675386077Z,2021-03-15T12:25:31.425434989Z,pre,R3SP,2021-03-15 12:25:15,2021-03-15 12:25:31,15.7500488758087
10,SG,1,NA,1,2021-03-15T12:25:33.675373282Z,2021-03-15T12:25:45.300624880Z,pre,R3SP,2021-03-15 12:25:33,2021-03-15 12:25:45,11.625251531601
11,SG,1,NA,1,2021-03-15T12:25:54.925541952Z,2021-03-15T12:27:25.801358653Z,pre,R3SP,2021-03-15 12:25:54,2021-03-15 12:27:25,90.875816822052
12,SG,1,NA,1,2021-03-15T12:27:29.176270975Z,2021-03-15T12:27:43.051341733Z,pre,R3SP,2021-03-15 12:27:29,2021-03-15 12:27:43,13.875070810318
13,SG,1,NA,1,2021-03-15T12:28:17.676739888Z,2021-03-15T12:28:21.551768964Z,pre,R3SP,2021-03-15 12:28:17,2021-03-15 12:28:21,3.87502908706665
14,TB,2,NA,2,2021-03-15T12:17:50.172045169Z,2021-03-15T12:18:13.047215337Z,pre,R3SP,2021-03-15 12:17:50,2021-03-15 12:18:13,22.8751699924469
15,SG,2,NA,2,2021-03-15T12:20:50.548377682Z,2021-03-15T12:20:53.298370434Z,pre,R3SP,2021-03-15 12:20:50,2021-03-15 12:20:53,2.74999260902405
16,SG,2,NA,2,2021-03-15T12:23:36.924681759Z,2021-03-15T12:24:03.924808361Z,pre,R3SP,2021-03-15 12:23:36,2021-03-15 12:24:03,27.0001266002655
17,SG,2,NA,2,2021-03-15T12:24:28.800040242Z,2021-03-15T12:24:34.300104193Z,pre,R3SP,2021-03-15 12:24:28,2021-03-15 12:24:34,5.5000638961792
18,SG,2,NA,2,2021-03-15T12:25:16.800396720Z,2021-03-15T12:25:28.800476327Z,pre,R3SP,2021-03-15 12:25:16,2021-03-15 12:25:28,12.0000796318054
20,SG,3,NA,3,2021-03-15T12:26:59.801016128Z,2021-03-15T12:27:45.051840754Z,pre,R3SP,2021-03-15 12:26:59,2021-03-15 12:27:45,45.2508246898651
21,SG,4,NA,4,2021-03-15T12:18:43.422393986Z,2021-03-15T12:18:52.797573383Z,pre,R3SP,2021-03-15 12:18:43,2021-03-15 12:18:52,9.37517929077148
22,SG,5,NA,5,2021-03-15T12:19:27.672826635Z,2021-03-15T12:27:52.801926341Z,pre,R3SP,2021-03-15 12:19:27,2021-03-15 12:27:52,505.129099845886
25,SG,7,NA,7,2021-03-15T12:13:21.670072964Z,2021-03-15T12:13:27.170109134Z,pre,R3SP,2021-03-15 12:13:21,2021-03-15 12:13:27,5.50003600120544
26,SG,7,NA,7,2021-03-15T12:14:01.920364396Z,2021-03-15T12:14:40.670660753Z,pre,R3SP,2021-03-15 12:14:01,2021-03-15 12:14:40,38.7502963542938
27,SG,7,NA,7,2021-03-15T12:19:03.547577388Z,2021-03-15T12:19:09.172619072Z,pre,R3SP,2021-03-15 12:19:03,2021-03-15 12:19:09,5.62504172325134
28,T,7,11,7,2021-03-15T12:23:28.299621783Z,2021-03-15T12:23:45.799725259Z,pre,R3SP,2021-03-15 12:23:28,2021-03-15 12:23:45,17.5001034736633
