Behaviour,Actor,Receiver,T_start,T_stop,treatment_rep
SG,15,NA,2021-03-16T12:28:11.051318377Z,2021-03-16T12:28:21.801410429Z,R3SP
FR,1,8,2021-03-16T12:28:10.676453920Z,2021-03-16T12:28:16.551529479Z,R3SP
FR,8,1,2021-03-16T12:28:10.676453920Z,2021-03-16T12:28:16.551529479Z,R3SP
SG,4,NA,2021-03-16T12:28:09.426475218Z,2021-03-16T12:28:20.801404975Z,R3SP
SG,24,NA,2021-03-16T12:28:08.051388267Z,2021-03-16T12:28:22.176489693Z,R3SP
SG,1,NA,2021-03-16T12:28:02.301392540Z,2021-03-16T12:28:03.426422074Z,R3SP
G,2,5,2021-03-16T12:28:01.926349938Z,2021-03-16T12:28:22.051566709Z,R3SP
G,2,5,2021-03-16T12:28:01.926349938Z,2021-03-16T12:28:22.051566709Z,R3SP
SG,24,NA,2021-03-16T12:28:01.551421740Z,2021-03-16T12:28:04.301437819Z,R3SP
SG,1,NA,2021-03-16T12:27:45.551305145Z,2021-03-16T12:27:58.676288625Z,R3SP
SG,22,NA,2021-03-16T12:27:29.176099509Z,2021-03-16T12:27:53.426364375Z,R3SP
TB,22,NA,2021-03-16T12:27:23.926124829Z,2021-03-16T12:27:29.176099509Z,R3SP
SG,3,NA,2021-03-16T12:27:21.926046747Z,2021-03-16T12:27:28.926161140Z,R3SP
SG,8,NA,2021-03-16T12:27:20.676049230Z,2021-03-16T12:27:37.301148660Z,R3SP
SG,5,NA,2021-03-16T12:27:20.551039906Z,2021-03-16T12:27:32.051136518Z,R3SP
SG,15,NA,2021-03-16T12:27:20.051295450Z,2021-03-16T12:27:56.301382566Z,R3SP
SG,4,NA,2021-03-16T12:27:17.300951248Z,2021-03-16T12:27:35.676085771Z,R3SP
G,24,17,2021-03-16T12:27:12.925990796Z,2021-03-16T12:27:58.176301183Z,R3SP
G,24,17,2021-03-16T12:27:12.925990796Z,2021-03-16T12:27:58.176301183Z,R3SP
FR,6,15,2021-03-16T12:27:11.425924465Z,2021-03-16T12:27:16.801085434Z,R3SP
FR,6,15,2021-03-16T12:27:11.425924465Z,2021-03-16T12:27:16.801085434Z,R3SP
SG,22,NA,2021-03-16T12:27:08.676027183Z,2021-03-16T12:27:23.926124829Z,R3SP
TQ,16,29,2021-03-16T12:27:07.801273829Z,2021-03-16T12:27:24.551057851Z,R3SP
TQ,16,29,2021-03-16T12:27:07.801273829Z,2021-03-16T12:27:24.551057851Z,R3SP
CR,24,17,2021-03-16T12:27:03.675904868Z,2021-03-16T12:27:12.925990796Z,R3SP
CR,24,17,2021-03-16T12:27:03.675904868Z,2021-03-16T12:27:12.925990796Z,R3SP
SG,26,NA,2021-03-16T12:26:52.925827756Z,2021-03-16T12:26:54.175881306Z,R3SP
SG,18,NA,2021-03-16T12:26:43.425772688Z,2021-03-16T12:26:46.550752174Z,R3SP
SG,15,NA,2021-03-16T12:26:39.175680341Z,2021-03-16T12:27:03.800920671Z,R3SP
TB,22,NA,2021-03-16T12:26:23.550597693Z,2021-03-16T12:27:06.550932336Z,R3SP
T,3,4,2021-03-16T12:26:18.800598373Z,2021-03-16T12:26:42.800753343Z,R3SP
T,4,3,2021-03-16T12:26:18.800598373Z,2021-03-16T12:26:42.800753343Z,R3SP
SG,16,NA,2021-03-16T12:26:17.675547041Z,2021-03-16T12:26:53.550844562Z,R3SP
SG,22,NA,2021-03-16T12:26:08.175527920Z,2021-03-16T12:26:22.175568026Z,R3SP
SG,16,NA,2021-03-16T12:25:55.675437658Z,2021-03-16T12:26:01.050478319Z,R3SP
T,3,4,2021-03-16T12:25:53.675421667Z,2021-03-16T12:26:01.300458351Z,R3SP
