Date,qPCR_Plate,qPCR_Well ,Ct1,Ct2,Colony,Code,Sample_Plate,Sample_position,MbruDNA
02/11/22,12,H8,31.72,32.1,R11SP,49-H4,49,H4,0.010265190184242
02/11/22,12,H7,31.21,31.95,R11SP,49-H3,49,H3,0.0126632738843
02/11/22,12,H6,33.81,33.48,R11SP,49-H2,49,H2,0.003403976083114
02/11/22,12,H5,30.69,31.51,R11SP,49-H1,49,H1,0.017185809759293
02/11/22,12,G9,31.66,32.56,R11SP,49-G5,49,G5,0.009038721392404
02/11/22,12,G8,30.4,31.39,R11SP,49-G4,49,G4,0.019579946463574
02/11/22,12,G7,31.4,31.59,R11SP,49-G3,49,G3,0.01336692465247
02/11/22,12,G6,35.48,34.97,R11SP,49-G2,49,G2,0.001245754601445
02/11/22,12,G5,31.86,32.78,R11SP,49-G1,49,G1,0.007908315735956
02/11/22,12,F9,25.96,26.69,R11SP,49-F5,49,F5,0.358511012025895
02/11/22,12,F8,29.47,29.96,R11SP,49-F4,49,F4,0.041480644923866
02/11/22,12,F7,32.57,32.42,R11SP,49-F3,49,F3,0.007075082363513
02/11/22,12,F6,33.38,33.64,R11SP,49-F2,49,F2,0.003709257641013
02/11/22,12,F5,30.84,31.1,R11SP,49-F1,49,F1,0.018667622073547
02/11/22,12,E9,30.17,30.89,R11SP,49-E5,49,E5,0.024697955284276
02/11/22,12,E8,29.71,30.04,R11SP,49-E4,49,E4,0.037466014770507
02/11/22,12,E7,33.67,33.28,R11SP,49-E3,49,E3,0.003792778670761
02/11/22,12,E6,33.74,34.86,R11SP,49-E2,49,E2,0.002243933591668
02/11/22,12,D9,31.66,31.61,R11SP,49-D5,49,D5,0.012227833034476
02/11/22,12,D8,32.24,32.79,R11SP,49-D4,49,D4,0.006985628727292
02/11/22,12,D7,34.15,34.34,R11SP,49-D3,49,D3,0.002323841482735
02/11/22,12,D6,32.74,32.82,R11SP,49-D2,49,D2,0.005901820546436
