"Colony","Sample_Well","Sample_Plate","Threshold","Ct","Tm_Product","name","gene_rep","machine_num","gene","Code","Treatment","treatment_size","antID","AntTask","colony_size","treatment_condition","Exposed","IsAlive","IsQueen","N_exposed"
"R12BS","A10","6",1555.068,26.8,84.08,"221202-Adriano-RTqPCR-6-DEF-2 - Text Report Data","6-DEF","2","DEF","49-A10","Big Sham","Big",1,"queen",194,"Sham",FALSE,TRUE,TRUE,17
"R12BS","A10","6",2230.099,20.95,77.81,"221202-Adriano-RTqPCR-6-EF1-1 - Text Report Data","6-EF1","1","EF1","49-A10","Big Sham","Big",1,"queen",194,"Sham",FALSE,TRUE,TRUE,17
"R12BS","A10","6",498.325,29.06,84.1,"221202-Adriano-RTqPCR-6-HYM-2 - Text Report Data","6-HYM","2","HYM","49-A10","Big Sham","Big",1,"queen",194,"Sham",FALSE,TRUE,TRUE,17
"R12BS","A10","6",1867.644,29.9,84.1,"221202-Adriano-RTqPCR-6-HYM-1 - Text Report Data","6-HYM","1","HYM","49-A10","Big Sham","Big",1,"queen",194,"Sham",FALSE,TRUE,TRUE,17
"R12BS","A10","6",1377.513,21.08,77.83,"221202-Adriano-RTqPCR-6-EF1-2 - Text Report Data","6-EF1","2","EF1","49-A10","Big Sham","Big",1,"queen",194,"Sham",FALSE,TRUE,TRUE,17
"R12BS","A10","6",2076.306,26.67,83.61,"221202-Adriano-RTqPCR-6-DEF-1 - Text Report Data","6-DEF","1","DEF","49-A10","Big Sham","Big",1,"queen",194,"Sham",FALSE,TRUE,TRUE,17
"R12BS","A10","6",1032.398,26.94,82.63,"221202-Adriano-RTqPCR-6-PO-2 - Text Report Data","6-PO","2","PO","49-A10","Big Sham","Big",1,"queen",194,"Sham",FALSE,TRUE,TRUE,17
"R12BS","A10","6",1942.996,27.03,82.6,"221202-Adriano-RTqPCR-6-PO-1 - Text Report Data","6-PO","1","PO","49-A10","Big Sham","Big",1,"queen",194,"Sham",FALSE,TRUE,TRUE,17
"R13BS","A5","4",2070.047,22.29,77.79,"221121-Adriano-RTqPCR-4-EF1-1 - Text Report Data","4-EF1","1","EF1","54-A7","Big Sham","Big",1,"queen",181,"Sham",FALSE,TRUE,TRUE,19
"R13BS","A5","4",1557.047,34.14,84.58,"221121-Adriano-RTqPCR-4-HYM-2 - Text Report Data","4-HYM","2","HYM","54-A7","Big Sham","Big",1,"queen",181,"Sham",FALSE,TRUE,TRUE,19
"R13BS","A5","4",1219.491,32.42,84.08,"221121-Adriano-RTqPCR-4-HYM-1 - Text Report Data","4-HYM","1","HYM","54-A7","Big Sham","Big",1,"queen",181,"Sham",FALSE,TRUE,TRUE,19
"R13BS","A5","4",1326.037,29.29,82.67,"221121-Adriano-RTqPCR-4-PO-2 - Text Report Data","4-PO","2","PO","54-A7","Big Sham","Big",1,"queen",181,"Sham",FALSE,TRUE,TRUE,19
"R13BS","A5","4",1798.807,29.85,82.61,"221121-Adriano-RTqPCR-4-PO-1 - Text Report Data","4-PO","1","PO","54-A7","Big Sham","Big",1,"queen",181,"Sham",FALSE,TRUE,TRUE,19
"R13BS","A5","4",1496.223,22.15,77.84,"221121-Adriano-RTqPCR-4-EF1-2 - Text Report Data","4-EF1","2","EF1","54-A7","Big Sham","Big",1,"queen",181,"Sham",FALSE,TRUE,TRUE,19
"R13BS","A5","4",1255.751,25.14,84.08,"221121-Adriano-RTqPCR-4-DEF-2 - Text Report Data","4-DEF","2","DEF","54-A7","Big Sham","Big",1,"queen",181,"Sham",FALSE,TRUE,TRUE,19
"R13BS","A5","4",2145.562,25.71,83.58,"221121-Adriano-RTqPCR-4-DEF-1 - Text Report Data","4-DEF","1","DEF","54-A7","Big Sham","Big",1,"queen",181,"Sham",FALSE,TRUE,TRUE,19
"R13SS","A11","8",2445.227,22.94,77.85,"221215-Adriano-RTqPCR-8-EF1-1 - Text Report Data","8-EF1","1","EF1","56-A3","Small Sham","Small",1,"queen",30,"Sham",FALSE,TRUE,TRUE,3
"R13SS","A11","8",2136.304,28.86,83.59,"221215-Adriano-RTqPCR-8-DEF-1 - Text Report Data","8-DEF","1","DEF","56-A3","Small Sham","Small",1,"queen",30,"Sham",FALSE,TRUE,TRUE,3
"R13SS","A11","8",2043.983,29.59,82.65,"221215-Adriano-RTqPCR-8-PO-1 - Text Report Data","8-PO","1","PO","56-A3","Small Sham","Small",1,"queen",30,"Sham",FALSE,TRUE,TRUE,3
"R13SS","A11","8",1339.793,22.93,77.83,"221215-Adriano-RTqPCR-8-EF1-2 - Text Report Data","8-EF1","2","EF1","56-A3","Small Sham","Small",1,"queen",30,"Sham",FALSE,TRUE,TRUE,3
"R13SS","A11","8",1042.778,27.95,83.74,"221215-Adriano-RTqPCR-8-DEF-2 - Text Report Data","8-DEF","2","DEF","56-A3","Small Sham","Small",1,"queen",30,"Sham",FALSE,TRUE,TRUE,3
