"Colony","qPCR_Well.","Ct1","Ct2","Code","MbruDNA","Treatment","size_treat","status","antID","AntTask1perc","prop_time_outside","colony_size","treatment","Exposed","IsAlive","IsQueen","N_exposed","Ct_mean","above_detection_threshold","Ant_status"
"R12BP","A3",32.89,33.22,"52-A3",0.005822949182631,"Big Pathogen","BP","Big",1,"queen",0,192,"Pathogen","untreated",TRUE,TRUE,16,33.055,"T","untreated queen"
"R12SP","  F2 ",31.645,NA,"53-A12",0.01401617,"Small Pathogen","SP","Small",1,"queen",0,29,"Pathogen","untreated",TRUE,TRUE,2,31.645,"T","untreated queen"
"R13SP","  G2 ",32.37,NA,"58-A3",0.00874031,"Small Pathogen","SP","Small",1,"queen",0,29,"Pathogen","untreated",TRUE,TRUE,3,32.37,"T","untreated queen"
"R14BP","  H2 ",30.05,NA,"60-A10",0.03961457,"Big Pathogen","BP","Big",1,"queen",0,138,"Pathogen","untreated",TRUE,TRUE,14,30.05,"T","untreated queen"
"R14SP","  A3 ",31.05,NA,"62-A2",0.02065166,"Small Pathogen","SP","Small",1,"queen",0,28,"Pathogen","untreated",TRUE,TRUE,3,31.05,"T","untreated queen"
"R12BP","A6",34.34,35.14,"52-A6",0.001984833128238,"Big Pathogen","BP","Big",2,"forager",0.05,192,"Pathogen","untreated",TRUE,FALSE,16,34.74,"T","untreated forager"
"R8BP","G5",32.9,33.63,"34-G5",0.004256253633424,"Big Pathogen","BP","Big",2,"forager",0.167,180,"Pathogen","untreated",TRUE,FALSE,17,33.265,"T","untreated forager"
"R12BP","G5",31.33,31.03,"52-G5",0.019287147420258,"Big Pathogen","BP","Big",3,"forager",0.358,192,"Pathogen","untreated",TRUE,FALSE,16,31.18,"T","untreated forager"
"R8BP","B6",34.31,33.85,"34-B6",0.002439944793231,"Big Pathogen","BP","Big",3,"forager",0.097,180,"Pathogen","untreated",TRUE,FALSE,17,34.08,"T","untreated forager"
"R8SP","  F3 ",30.335,NA,"35-A6",0.03290247,"Small Pathogen","SP","Small",1,"queen",0,31,"Pathogen","untreated",TRUE,TRUE,3,30.335,"T","untreated queen"
"R11BP","  E2 ",32.975,NA,"47-A3",0.00589349,"Big Pathogen","BP","Big",1,"queen",0,176,"Pathogen","untreated",TRUE,TRUE,17,32.975,"T","untreated queen"
"R12BP","B7",22.225,NA,"53-D9",3.34056556473294,"Big Pathogen","BP","Big",4,"nurse",0,192,"Pathogen","treated",TRUE,FALSE,16,22.225,"T","treated nurse"
"R2BP","  B3 ",33.13,NA,"7-H6",0.00532749,"Big Pathogen","BP","Big",3,"queen",0,169,"Pathogen","untreated",TRUE,TRUE,16,33.13,"T","untreated queen"
"R8BP","F10",30.34,30.56,"34-F10",0.029085397263831,"Big Pathogen","BP","Big",4,"forager",0.217,180,"Pathogen","untreated",TRUE,FALSE,17,30.45,"T","untreated forager"
"R8BP","F9",31.09,32,"34-F9",0.013772332526643,"Big Pathogen","BP","Big",5,"forager",0.309,180,"Pathogen","untreated",TRUE,FALSE,17,31.545,"T","untreated forager"
"R11SP","A7",29.17,29.16,"49-A3",0.05885867754361,"Small Pathogen","SP","Small",1,"queen",0,34,"Pathogen","untreated",TRUE,TRUE,3,29.165,"T","untreated queen"
"R12BP","G6",30.88,32.21,"53-G4",0.027454718807247,"Big Pathogen","BP","Big",5,"forager",0.143,192,"Pathogen","untreated",TRUE,FALSE,16,31.545,"T","untreated forager"
"R12BP","A9",30.35,31.62,"53-A7",0.039260967714611,"Big Pathogen","BP","Big",6,"nurse",0.001,192,"Pathogen","untreated",TRUE,FALSE,16,30.985,"T","untreated nurse"
"R8BP","D1",35.24,33.72,"33-D6",0.001810205999802,"Big Pathogen","BP","Big",7,"forager",0.67,180,"Pathogen","untreated",TRUE,FALSE,17,34.48,"T","untreated forager"
"R12BP","C10",32.95,32.71,"52-C10",0.006722920876814,"Big Pathogen","BP","Big",7,"forager",0.117,192,"Pathogen","untreated",TRUE,FALSE,16,32.83,"T","untreated forager"
